date,prix100,prix10,prix1
2022-01-06-10:51:51,2599,206,0
2022-01-06-13:30:56,2599,206,9
2022-01-06-14:10:38,2599,206,8
2022-01-06-14:14:46,2599,206,0
2022-01-07-19:52:07,259,66,6
2022-01-07-20:00:24,259,66,6
2022-01-07-20:08:39,259,6,6
2022-01-07-20:16:47,259,6,6
2022-01-07-20:24:55,259,99,6
2022-01-07-20:33:08,259,99,5
2022-01-12-09:44:49,8799,33,9
2022-01-12-10:10:37,8799,332,9
2022-01-12-10:43:53,8798,332,9
2022-01-12-11:17:07,8798,33,4
2022-01-12-11:50:30,8798,33,4
2022-01-21-23:39:04,9893,369,42
2022-01-22-01:01:40,9893,360,35
2022-01-22-13:34:39,9893,372,15
2022-01-22-14:00:44,9896,374,27
2022-01-22-14:13:49,9896,373,25
2022-01-22-14:26:55,9895,373,24
2022-01-22-14:40:00,9895,373,24
2022-01-22-14:53:04,9895,373,21
2022-01-22-15:06:12,9895,373,22
2022-01-22-15:19:25,9895,372,22
2022-01-22-15:32:31,9895,372,22
2022-01-22-15:47:24,9895,374,22
2022-01-22-16:00:29,9895,374,21
2022-01-22-16:13:38,9895,374,21
2022-01-22-16:26:45,9895,374,21
2022-01-22-16:39:53,9895,374,21
2022-01-22-16:53:01,9895,373,20
2022-01-22-17:06:08,9895,372,20
2022-01-22-17:19:15,9895,372,26
2022-01-22-17:32:22,9895,372,26
2022-01-22-17:45:29,9895,350,24
2022-01-22-17:58:39,9894,349,23
2022-01-22-18:11:50,9894,349,23
2022-01-22-18:25:01,9894,349,20
2022-01-22-18:38:14,9893,350,23
2022-01-22-18:51:22,9893,349,22
2022-01-22-19:04:33,9893,349,19
2022-01-22-19:17:46,9995,769,50
2022-01-22-19:31:55,9893,346,19
2022-01-22-19:45:06,9893,346,19
2022-01-22-19:58:17,9893,346,18
2022-01-22-23:50:46,9992,37,9
2022-01-23-22:48:11,9891,390,13
2022-01-24-19:35:32,9889,920,32
2022-01-24-21:37:21,9889,913,74
2022-01-25-18:24:10,9889,905,83
2022-01-26-15:21:02,9890,772,36
2022-01-26-15:40:10,9890,770,71
2022-01-28-09:03:13,9794,565,45
2022-01-28-10:02:38,9793,564,45
2022-01-28-11:02:01,9793,579,38
2022-01-28-12:01:07,9790,579,39
2022-01-28-13:00:12,0,0,34
2022-01-28-13:59:18,9790,579,32
2022-01-28-14:58:29,9789,99,8
2022-01-28-15:57:39,9789,99,6
2022-01-28-16:57:08,9788,99,5
2022-01-28-17:56:38,9787,576,27
2022-01-29-10:40:02,6499,566,30
2022-01-29-11:38:45,6498,562,17
2022-01-29-12:37:36,6498,561,13
2022-01-29-13:36:31,6497,563,11
2022-01-29-21:50:33,6495,499,45
2022-01-29-22:49:36,6494,499,43
2022-02-02-20:21:21,1718,174,13
2022-02-06-14:57:31,1713,106,8
2022-02-06-22:35:43,1713,100,2
2022-02-07-20:17:13,9749,745,30
2022-02-07-20:29:32,9749,745,29
2022-02-07-20:41:49,9749,745,29
2022-02-07-20:54:08,9748,745,25
2022-02-07-21:06:26,9747,745,24
2022-02-10-08:51:45,6699,662,27
2022-02-10-20:19:18,4596,497,9
2022-02-10-20:32:45,4550,497,9
2022-02-10-20:46:16,4550,496,15
2022-02-11-20:37:08,4400,376,14
2022-02-12-12:38:04,4549,200,7
2022-09-11-23:33:54,1540,134,8
2022-09-12-08:52:01,1541,166,6
