date,prix100,prix10,prix1
2022-02-02-20:18:37,8991,476,32
2022-02-06-14:54:46,4093,393,38
2022-02-06-22:32:56,4088,390,36
2022-02-07-20:14:31,4086,300,35
2022-02-07-20:26:49,4080,300,35
2022-02-07-20:39:06,4080,300,35
2022-02-07-20:51:25,4079,300,35
2022-02-07-21:03:44,4079,300,35
2022-02-07-21:16:06,4000,300,35
2022-02-10-08:48:53,8767,349,31
2022-02-10-20:16:18,8487,347,31
2022-02-10-20:29:47,8487,347,31
2022-02-10-20:43:15,8487,347,31
2022-02-11-20:34:19,8798,375,120
2022-02-12-12:35:17,8180,371,49
2022-09-11-23:28:37,4295,574,57
2022-09-12-08:45:02,4192,572,56
2022-09-12-20:52:24,8499,562,54
