date,prix100,prix10,prix1
2022-01-22-23:55:28,169971,16959,1590
2022-01-24-09:16:42,169952,14997,1475
2022-01-24-19:39:29,169957,16900,1496
2022-01-24-21:41:22,169957,16300,1492
2022-01-25-18:28:03,169950,14997,1498
2022-01-26-15:25:46,169949,15996,1498
2022-01-26-15:44:55,169950,15999,1495
2022-01-28-09:08:13,138999,14346,1168
2022-01-28-10:07:45,138998,14347,1155
2022-01-28-11:06:57,138997,14347,1165
2022-01-28-12:05:59,138997,14345,1167
2022-01-28-13:05:05,138997,14339,1188
2022-01-28-14:04:12,138997,14336,1407
2022-01-28-15:03:24,139995,14322,1405
2022-01-28-16:02:48,169899,14990,1149
2022-01-28-17:02:16,169899,14990,899
2022-01-28-18:01:47,169895,14997,1099
2022-01-29-10:44:39,149494,14667,1288
2022-01-29-11:43:29,149489,14794,1293
2022-01-29-12:42:25,149489,14790,1419
2022-01-29-13:41:13,149489,14797,1411
2022-01-29-21:55:28,149449,14970,1284
2022-01-29-22:54:18,149447,14970,1283
2022-02-02-20:24:13,148946,14996,1117
2022-02-06-15:00:24,169892,17199,1599
2022-02-06-22:39:00,169955,17415,1487
2022-02-07-20:20:04,169958,16949,1250
2022-02-07-20:32:23,169958,16949,1200
2022-02-07-20:44:40,169958,16999,1198
2022-02-07-20:57:01,169958,16949,1095
2022-02-07-21:09:18,169957,16949,1094
2022-02-10-08:54:44,169948,16929,1197
2022-02-10-20:22:28,169940,15000,1619
2022-02-10-20:35:55,169941,17200,1611
2022-02-11-20:40:04,159997,15996,1574
2022-02-12-12:40:59,159996,15000,1540
2022-09-11-23:32:03,88898,8775,596
2022-09-12-08:45:23,87993,7999,658
2022-09-12-20:48:02,73500,7996,673
