date,prix100,prix10,prix1
2022-01-22-23:55:38,99991,9946,937
2022-01-24-09:16:51,88997,9996,933
2022-01-24-19:39:38,127996,1194,996
2022-01-24-21:41:31,127996,11939,998
2022-01-25-18:28:12,127991,11946,1216
2022-01-26-15:25:58,125000,12900,1193
2022-01-26-15:45:06,124999,12799,1190
2022-01-28-09:08:24,98989,8996,779
2022-01-28-10:07:57,98989,8995,780
2022-01-28-11:07:08,90000,8993,790
2022-01-28-12:06:11,90000,9772,894
2022-01-28-13:05:17,98989,9697,889
2022-01-28-14:04:24,98800,9630,996
2022-01-28-15:03:36,98997,9696,932
2022-01-28-16:02:59,118991,12753,957
2022-01-28-17:02:27,118991,12749,957
2022-01-28-18:02:00,118991,12751,947
2022-01-29-10:44:50,117774,11499,1080
2022-01-29-11:43:40,117776,11209,995
2022-01-29-12:42:37,117775,11206,1144
2022-01-29-13:41:24,117774,11199,1113
2022-01-29-21:55:39,111111,10996,1068
2022-01-29-22:54:29,111111,10900,1060
2022-02-02-20:24:22,109980,10599,998
2022-02-06-15:00:33,106498,10977,1024
2022-02-06-22:39:09,107893,10976,994
2022-02-07-20:20:13,106999,10976,989
2022-02-07-20:32:32,106999,10976,992
2022-02-07-20:44:49,106999,10976,989
2022-02-07-20:57:10,106998,10975,987
2022-02-07-21:09:27,106998,10974,985
2022-02-10-08:54:53,103894,10979,740
2022-02-10-20:22:38,94496,9997,972
2022-02-10-20:36:04,94497,9996,973
2022-02-11-20:40:14,94500,9596,889
2022-02-12-12:41:09,94496,8994,888
2022-09-11-22:50:35,53988,5296,491
2022-09-11-23:28:20,53990,5294,491
2022-09-12-20:43:40,39997,4214,160
