date,prix100,prix10,prix1
2022-01-22-23:54:21,11999,967,56
2022-01-24-09:15:48,12000,1259,98
2022-01-24-19:38:33,14219,1290,110
2022-01-24-21:40:26,14219,1146,90
2022-01-25-18:27:08,14219,1099,93
2022-01-26-15:24:40,14214,1396,91
2022-01-26-15:43:49,14214,1395,90
2022-01-28-09:07:06,12000,1295,123
2022-01-28-10:06:36,11999,1295,99
2022-01-28-11:05:49,11999,1296,98
2022-01-28-12:04:51,11999,990,96
2022-01-28-13:03:58,11999,997,94
2022-01-28-14:03:04,11999,997,93
2022-01-28-15:02:16,11999,1296,98
2022-01-28-16:01:31,12000,1296,99
2022-01-28-17:01:03,12000,1299,119
2022-01-28-18:00:35,12000,1296,115
2022-01-29-10:43:34,12000,1097,96
2022-01-29-11:42:23,12000,1095,88
2022-01-29-12:41:18,12000,1094,87
2022-01-29-13:40:08,0,1095,87
2022-01-29-21:54:17,25555,1396,109
2022-01-29-22:53:13,25555,1399,117
2022-02-02-20:23:27,25500,3497,247
2022-02-06-14:59:38,25555,2900,189
2022-02-06-22:38:13,25500,2590,247
2022-02-07-20:19:18,25554,2296,194
2022-02-07-20:31:37,25554,2296,197
2022-02-07-20:43:54,25554,1972,197
2022-02-07-20:56:15,25553,1999,195
2022-02-07-21:08:31,25553,1999,194
2022-02-10-08:53:55,25554,2266,207
2022-02-10-20:21:36,25555,2219,98
2022-02-10-20:35:02,25555,2219,98
2022-02-11-20:39:17,21996,2190,95
2022-02-12-12:40:13,21995,1993,140
2022-09-11-23:38:59,19888,1350,76
2022-09-12-08:48:48,19887,1336,102
