date,prix100,prix10,prix1
2022-02-02-20:19:08,14000,1199,91
2022-02-06-14:55:18,9971,650,68
2022-02-06-22:33:28,14997,647,67
2022-02-07-20:15:01,10995,1006,89
2022-02-07-20:27:19,11995,1007,89
2022-02-07-20:39:37,11994,1007,89
2022-02-07-20:51:56,11993,1007,89
2022-02-07-21:04:14,11993,1007,89
2022-02-07-21:16:37,11993,1007,89
2022-02-10-08:49:25,9985,992,93
2022-02-10-20:16:51,9988,990,93
2022-02-10-20:30:20,9900,990,93
2022-02-10-20:43:48,9899,990,93
2022-02-11-20:34:51,9875,960,88
2022-02-12-12:35:48,9286,956,87
2022-09-12-00:05:28,14686,1695,145
2022-09-12-08:46:37,9999,1449,140
2022-09-12-20:46:31,14199,1435,137
