date,prix100,prix10,prix1
2022-02-02-20:20:11,13999,2094,438
2022-02-06-14:56:22,16992,1796,140
2022-02-06-22:34:33,16895,1796,260
2022-02-07-20:16:04,16581,1696,159
2022-02-07-20:28:24,16581,1696,159
2022-02-07-20:40:40,16580,1696,159
2022-02-07-20:53:00,16580,1696,159
2022-02-07-21:05:17,16579,1697,160
2022-02-10-08:50:33,15186,1641,250
2022-02-10-20:18:02,15489,1490,150
2022-02-10-20:31:28,15489,1490,150
2022-02-10-20:44:59,15488,1490,150
2022-02-11-20:35:57,17798,1659,160
2022-02-12-12:36:53,17915,1970,249
2022-09-11-23:30:04,37976,3911,439
2022-09-12-08:49:35,37699,3910,448
