date,prix100,prix10,prix1
2022-02-01-20:07:42,2660,226,22
2022-02-01-20:38:23,2660,226,22
2022-02-02-20:14:43,2193,345,49
2022-02-06-14:53:26,2596,317,30
2022-02-06-15:25:27,2595,316,29
2022-02-06-22:31:34,2580,240,20
2022-02-07-20:13:11,2477,215,18
2022-02-07-20:25:29,2242,214,18
2022-02-07-20:37:46,2242,214,18
2022-02-07-20:50:04,2242,214,18
2022-02-07-21:02:24,2242,214,18
2022-02-07-21:14:46,2242,214,18
2022-02-10-08:47:29,1878,190,19
2022-02-10-20:14:47,1718,196,23
2022-02-10-20:28:18,1700,196,23
2022-02-10-20:41:47,1700,196,23
2022-02-11-20:32:57,1548,194,20
2022-02-12-12:33:55,1180,136,13
2022-09-11-23:29:15,2493,264,32
