date,prix100,prix10,prix1
2022-02-01-20:07:22,5504,679,60
2022-02-01-20:38:03,5504,662,60
2022-02-02-20:14:23,5186,666,55
2022-02-06-14:53:07,4489,647,97
2022-02-06-15:25:08,4485,644,97
2022-02-06-22:31:15,5199,655,119
2022-02-07-20:12:52,5288,599,117
2022-02-07-20:25:10,5286,599,117
2022-02-07-20:37:27,5288,654,117
2022-02-07-20:49:46,5102,657,117
2022-02-07-21:02:05,5101,657,117
2022-02-07-21:14:27,5101,659,117
2022-02-10-08:47:09,8981,659,56
2022-02-10-20:14:26,5577,659,55
2022-02-10-20:27:58,5577,659,55
2022-02-10-20:41:27,5577,659,55
2022-02-11-20:32:38,4600,650,53
2022-02-12-12:33:36,2955,460,80
2022-09-11-23:32:30,2019,697,90
2022-09-12-08:46:50,799,666,88
