date,prix100,prix10,prix1
2022-02-01-20:07:08,1094,266,17
2022-02-01-20:37:49,1000,267,17
2022-02-02-20:14:10,1209,106,14
2022-02-06-14:52:53,0,8790,98
2022-02-06-15:24:52,8792,1299,98
2022-02-06-22:31:01,1885,639,70
2022-02-07-20:12:39,1171,341,40
2022-02-07-20:24:56,1169,339,40
2022-02-07-20:37:13,1166,336,40
2022-02-07-20:49:32,1163,336,45
2022-02-07-21:01:51,1164,336,45
2022-02-07-21:14:13,1162,336,45
2022-02-10-08:46:55,2000,142,14
2022-02-10-20:14:11,1198,144,19
2022-02-10-20:27:42,1198,144,19
2022-02-10-20:41:12,1198,100,19
2022-02-11-20:32:24,5590,999,62
2022-02-12-12:33:22,4577,553,65
2022-09-11-23:31:49,748,44,25
2022-09-12-20:51:34,883,67,15
