date,prix100,prix10,prix1
2022-02-01-20:07:03,5123,510,39
2022-02-01-20:37:44,5000,510,80
2022-02-02-20:14:05,5144,494,70
2022-02-06-14:52:48,5992,793,73
2022-02-06-15:24:47,6659,790,69
2022-02-06-22:30:57,6692,642,70
2022-02-07-20:12:34,9000,696,75
2022-02-07-20:24:52,9299,696,80
2022-02-07-20:37:09,8999,696,80
2022-02-07-20:49:27,8900,735,85
2022-02-07-21:01:47,6999,730,86
2022-02-07-21:14:09,7000,743,84
2022-02-10-08:46:50,8995,256,48
2022-02-10-20:14:06,5898,549,60
2022-02-10-20:27:37,5892,576,59
2022-02-10-20:41:07,5793,546,58
2022-02-11-20:32:19,8794,435,52
2022-02-12-12:33:17,2799,294,45
2022-09-11-23:35:51,5985,555,62
2022-09-12-08:48:34,5100,535,42
2022-09-12-20:50:45,5690,520,43
