date,prix100,prix10,prix1
2022-02-01-20:07:46,4994,652,81
2022-02-01-20:38:28,8999,652,81
2022-02-02-20:14:47,5946,622,70
2022-02-06-14:53:31,7913,659,67
2022-02-06-15:25:32,7910,679,61
2022-02-06-22:31:39,9993,699,72
2022-02-07-20:13:16,9672,932,92
2022-02-07-20:25:33,9671,931,92
2022-02-07-20:37:51,9671,931,92
2022-02-07-20:50:09,9671,931,92
2022-02-07-21:02:29,9670,931,92
2022-02-07-21:14:51,9660,932,92
2022-02-10-08:47:34,6956,954,81
2022-02-10-20:14:52,5999,740,81
2022-02-10-20:28:24,5999,740,81
2022-02-10-20:41:52,5999,740,81
2022-02-11-20:33:02,4793,392,74
2022-02-12-12:34:00,6494,575,77
2022-09-12-00:02:56,8865,900,123
2022-09-12-20:44:47,7895,1290,119
