date,prix100,prix10,prix1
2022-02-02-20:18:26,1997,201,16
2022-02-06-14:54:36,2199,296,34
2022-02-06-22:32:46,2190,194,66
2022-02-07-20:14:21,2192,192,10
2022-02-07-20:26:39,2191,192,10
2022-02-07-20:38:56,2191,192,10
2022-02-07-20:51:15,2190,192,10
2022-02-07-21:03:34,2190,192,68
2022-02-07-21:15:56,2100,192,68
2022-02-10-08:48:42,1699,145,17
2022-02-10-20:16:06,1797,144,16
2022-02-10-20:29:35,1797,144,16
2022-02-10-20:43:04,1798,144,16
2022-02-11-20:34:09,2083,294,31
2022-02-12-12:35:07,2048807,1994,271
2022-09-11-22:47:14,2098,272,59
2022-09-11-23:11:28,2099,271,59
2022-09-11-23:31:12,2098,270,50
2022-09-12-08:51:32,1899,266,49
2022-09-12-20:49:11,1745,167,23
