date,prix100,prix10,prix1
2022-02-02-20:19:44,9296,973,94
2022-02-06-14:55:54,6996,885,92
2022-02-06-22:34:05,6945,694,60
2022-02-07-20:15:37,5952,852,95
2022-02-07-20:27:56,5956,852,95
2022-02-07-20:40:13,5959,852,95
2022-02-07-20:52:32,5966,852,95
2022-02-07-21:04:50,5976,852,95
2022-02-10-08:50:03,6049,887,127
2022-02-10-20:17:31,6995,866,66
2022-02-10-20:30:59,6994,866,66
2022-02-10-20:44:29,6993,865,66
2022-02-11-20:35:29,9291,895,129
2022-02-12-12:36:25,7796,800,99
2022-09-11-23:31:28,9965,1111,220
2022-09-12-08:46:17,9799,1410,150
