date,prix100,prix10,prix1
2022-01-22-23:53:22,730000,66499,6959
2022-01-23-22:50:17,730000,73999,6149
2022-01-24-19:37:39,730000,73995,6117
2022-01-24-21:39:31,730000,73996,6000
2022-01-25-18:26:15,729999,73992,6107
2022-01-26-15:23:35,729993,72996,6194
2022-01-26-15:42:45,729993,72996,6190
2022-01-28-09:05:59,729992,73997,6193
2022-01-28-10:05:24,729992,73996,6193
2022-01-28-11:04:43,729992,73996,6192
2022-01-28-12:03:45,729992,73996,6193
2022-01-28-13:02:51,729992,73997,6210
2022-01-28-14:01:59,729992,73997,6229
2022-01-28-15:01:08,729992,73996,6241
2022-01-28-16:00:21,729992,73997,6109
2022-01-28-16:59:53,700000,73996,6298
2022-01-28-17:59:23,700000,73997,6125
2022-01-29-10:42:31,700000,73995,6119
2022-01-29-11:41:18,700000,73995,6117
2022-01-29-12:40:12,700000,73995,6114
2022-01-29-13:39:04,700000,73994,6100
2022-01-29-21:53:05,699999,73979,6119
2022-01-29-22:52:10,699999,73976,6117
2022-02-02-20:22:54,649999,72996,6599
2022-02-06-14:59:05,699999,73996,6546
2022-02-06-22:37:40,699999,73993,6968
2022-02-07-20:18:46,699999,73990,6959
2022-02-07-20:31:04,699999,73990,6959
2022-02-07-20:43:22,699999,73990,6958
2022-02-07-20:55:42,699999,73990,6958
2022-02-07-21:07:58,699999,73990,6958
2022-02-10-08:53:21,650000,69992,6679
2022-02-10-20:21:01,650000,69949,6199
2022-02-10-20:34:28,650000,69949,6199
2022-02-11-20:38:43,649998,66991,6188
2022-02-12-12:39:39,649998,66975,5996
2022-09-11-23:39:06,319000,29991,2215
2022-09-12-20:47:55,319000,29993,2575
