date,prix100,prix10,prix1
2022-01-22-23:54:11,575553,57497,5533
2022-01-24-09:15:39,575511,53994,5699
2022-01-24-19:38:24,575509,54296,5000
2022-01-24-21:40:16,575509,54292,4896
2022-01-25-18:26:59,575508,53991,4994
2022-01-26-15:24:29,575502,46532,5189
2022-01-26-15:43:38,575502,46532,5189
2022-01-28-09:06:55,575498,39995,8492
2022-01-28-10:06:25,575498,39993,8984
2022-01-28-11:05:38,575496,39993,8980
2022-01-28-12:04:40,575495,39993,8979
2022-01-28-13:03:47,575494,39993,8979
2022-01-28-14:02:53,575494,39990,8975
2022-01-28-15:02:05,575494,39990,8872
2022-01-28-16:01:19,575494,39990,8872
2022-01-28-17:00:51,575492,36996,8870
2022-01-28-18:00:23,575492,36997,8869
2022-01-29-10:43:24,575490,33997,8191
2022-01-29-11:42:12,575490,33995,8190
2022-01-29-12:41:07,575490,33996,8189
2022-01-29-13:39:57,575490,33995,8183
2022-01-29-21:54:04,575490,30999,2000
2022-01-29-22:53:02,349999,30995,8290
2022-02-02-20:23:18,575479,39995,4752
2022-02-06-14:59:29,575476,46529,4499
2022-02-06-22:38:04,575474,53979,5194
2022-02-07-20:19:09,575475,57310,5110
2022-02-07-20:31:27,575475,57310,5110
2022-02-07-20:43:45,575475,57310,5110
2022-02-07-20:56:06,575475,57310,5100
2022-02-07-21:08:22,575475,57310,5200
2022-02-10-08:53:45,575506,52976,4996
2022-02-10-20:21:26,575505,52990,4996
2022-02-10-20:34:53,575505,52991,4997
2022-02-11-20:39:08,575505,52979,4988
2022-02-12-12:40:03,575507,52971,5200
2022-09-11-22:50:19,754500,75440,7562
2022-09-11-23:25:03,754500,75436,7559
2022-09-12-20:52:01,734740,75441,7469
