date,prix100,prix10,prix1
2022-01-22-23:55:06,349993,29499,2940
2022-01-24-09:16:24,349993,21430,2120
2022-01-24-19:39:10,349993,20392,1844
2022-01-24-21:41:03,349993,20390,1829
2022-01-25-18:27:45,349993,21000,1748
2022-01-26-15:25:23,349992,21376,2103
2022-01-26-15:44:34,349992,21390,2102
2022-01-28-09:07:50,349989,19993,1862
2022-01-28-10:07:22,349989,19996,1859
2022-01-28-11:06:33,349989,19970,1846
2022-01-28-12:05:36,349989,19966,1797
2022-01-28-13:04:42,349989,19966,1794
2022-01-28-14:03:49,349989,19960,1792
2022-01-28-15:03:02,349989,19956,1789
2022-01-28-16:02:24,349989,19956,1869
2022-01-28-17:01:51,349989,19955,1797
2022-01-28-18:01:24,349989,19969,1795
2022-01-29-10:44:18,349989,17492,1755
2022-01-29-11:43:07,349989,17490,1753
2022-01-29-12:42:02,349989,17497,1749
2022-01-29-13:40:51,259999,17490,1747
2022-01-29-21:55:07,259998,17375,1296
2022-01-29-22:53:56,259998,17377,1294
2022-02-02-20:23:55,259994,16396,1696
2022-02-06-15:00:06,259993,23994,2121
2022-02-06-22:38:40,259994,23996,2104
2022-02-07-20:19:45,349988,29590,2143
2022-02-07-20:32:04,349988,29590,2143
2022-02-07-20:44:22,349988,29590,2143
2022-02-07-20:56:42,349988,29596,2141
2022-02-07-21:08:59,349988,29597,2142
2022-02-10-08:54:24,269998,25990,2252
2022-02-10-20:22:06,0,0,0
2022-02-10-20:35:34,269997,25497,2142
2022-02-11-20:39:45,269996,16000,1695
2022-02-12-12:40:41,269996,24325,2200
2022-09-11-23:37:44,300000,10091,998
