date,prix100,prix10,prix1
2022-02-02-20:20:23,16696,2440,497
2022-02-06-14:56:34,19990,2326,464
2022-02-06-22:34:45,20120,2325,467
2022-02-07-20:16:16,19969,2333,478
2022-02-07-20:28:35,19969,2334,478
2022-02-07-20:40:52,19969,2336,478
2022-02-07-20:53:11,19969,2337,478
2022-02-07-21:05:29,19968,2337,478
2022-02-10-08:50:45,17991,2357,439
2022-02-10-20:18:14,16986,2350,433
2022-02-10-20:31:41,16986,2350,433
2022-02-10-20:45:12,16985,2350,433
2022-02-11-20:36:09,16609,2200,422
2022-02-12-12:37:05,16562,2194,417
2022-09-12-00:04:10,24886,3275,499
2022-09-12-08:44:04,24794,3256,497
2022-09-12-20:46:24,26185,3249,499
