date,prix100,prix10,prix1
2022-01-22-23:55:48,160000,14900,1499
2022-01-24-09:17:01,173298,16900,1659
2022-01-24-19:39:47,145000,16910,1199
2022-01-24-21:41:41,145000,16990,1590
2022-01-25-18:28:21,149899,15296,1529
2022-01-26-15:26:09,175999,16666,1100
2022-01-26-15:45:17,175999,16665,1298
2022-01-28-09:08:35,350000,16497,1484
2022-01-28-10:08:09,350000,16496,1450
2022-01-28-11:07:19,350000,16496,1447
2022-01-28-12:06:22,350000,16495,1198
2022-01-28-13:05:28,350000,16499,1449
2022-01-28-14:04:36,350000,16496,1449
2022-01-28-15:03:47,350000,16497,1440
2022-01-28-16:03:11,350000,16499,1418
2022-01-28-17:02:39,350000,16496,1550
2022-01-28-18:02:11,349999,16296,1497
2022-01-29-10:45:01,349997,16906,1653
2022-01-29-11:43:51,349997,16661,1653
2022-01-29-12:42:48,349997,16909,1617
2022-01-29-13:41:35,349997,16906,1614
2022-01-29-21:55:50,349996,16991,1500
2022-01-29-22:54:39,349996,16996,1498
2022-02-02-20:24:31,186196,17491,1579
2022-02-06-15:00:42,349914,16499,1884
2022-02-06-22:39:19,204997,16399,1288
2022-02-07-20:20:22,199999,16397,1706
2022-02-07-20:32:41,199999,16397,1705
2022-02-07-20:44:58,199999,16397,1705
2022-02-07-20:57:19,200000,16397,1705
2022-02-07-21:09:36,200000,16397,1702
2022-02-10-08:55:03,200090,19996,1500
2022-02-10-20:22:48,204999,19000,1919
2022-02-10-20:36:14,204999,19000,1919
2022-02-11-20:40:23,0,26976,1693
2022-02-12-12:41:18,289000,24993,2100
2022-09-12-00:04:47,72643,7596,750
2022-09-12-08:51:54,72640,7550,708
