date,prix100,prix10,prix1
2022-01-22-23:54:50,299999,30551,2741
2022-01-24-09:16:11,314444,30992,2985
2022-01-24-19:38:56,314444,30943,8142
2022-01-24-21:40:49,314444,30541,2992
2022-01-25-18:27:31,315000,30476,2899
2022-01-26-15:25:07,372899,36000,8827
2022-01-26-15:44:17,300000,32964,8168
2022-01-28-09:07:34,314990,22496,2197
2022-01-28-10:07:04,314989,22497,2196
2022-01-28-11:06:16,314989,2244,2192
2022-01-28-12:05:19,314989,22497,2186
2022-01-28-13:04:25,314989,22496,2178
2022-01-28-14:03:32,314989,26991,2181
2022-01-28-15:02:45,314989,26991,2474
2022-01-28-16:01:59,314900,26999,2498
2022-01-28-17:01:33,314900,29393,2968
2022-01-28-18:01:07,314900,29397,2953
2022-01-29-10:44:02,300000,29333,2955
2022-01-29-11:42:50,300000,29397,2952
2022-01-29-12:41:46,314900,29199,2897
2022-01-29-13:40:35,314900,29397,2949
2022-01-29-21:54:49,315000,31500,8013
2022-01-29-22:53:40,315000,30995,8000
2022-02-02-20:23:41,279999,26996,2894
2022-02-06-14:59:52,311000,29949,2899
2022-02-06-22:38:27,299999,30900,2920
2022-02-07-20:19:32,315000,34443,8479
2022-02-07-20:31:50,315000,34443,8479
2022-02-07-20:44:08,315000,34443,8476
2022-02-07-20:56:29,314999,34440,8472
2022-02-07-21:08:45,314999,34440,8472
2022-02-10-08:54:10,313113,26396,2588
2022-02-10-20:21:52,240000,24499,2606
2022-02-10-20:35:18,240000,24499,2606
2022-02-11-20:39:31,313777,27969,2842
2022-02-12-12:40:27,313112,26999,2813
2022-09-12-00:04:24,299798,29116,2880
2022-09-12-08:48:41,299995,29296,2867
2022-09-12-20:49:55,349999,26994,2897
