date,prix100,prix10,prix1
2022-02-01-19:28:43,0,0,0
2022-02-01-19:30:26,11499,1246,199
2022-02-01-19:37:16,11499,1246,199
2022-02-01-19:44:24,11498,1246,199
2022-02-01-19:46:48,11498,124,197
2022-02-01-19:52:26,11497,1245,197
2022-02-01-19:59:09,11495,124,197
2022-02-01-20:03:10,11496,124,197
2022-02-01-20:05:17,11500,124,197
2022-02-01-20:35:58,11198,1246,197
2022-02-02-20:07:41,9879,1092,114
2022-02-02-20:12:23,9879,1092,114
2022-02-02-20:27:20,9879,1090,114
2022-02-06-14:51:06,7897,925,111
2022-02-06-15:23:04,7895,930,110
2022-02-06-22:29:12,9166,936,98
2022-02-07-20:10:51,8998,931,93
2022-02-07-20:23:10,9000,931,94
2022-02-07-20:35:26,9072,932,94
2022-02-07-20:47:45,9072,932,93
2022-02-07-21:00:05,9072,932,93
2022-02-07-21:12:26,9071,939,93
2022-02-10-08:42:14,6929,965,91
2022-02-10-08:45:03,6929,750,91
2022-02-10-20:12:10,6997,964,91
2022-02-10-20:25:45,6998,969,91
2022-02-10-20:39:12,6998,966,91
2022-02-11-20:30:32,8780,996,97
2022-02-12-12:31:34,7987,1096,244
2022-09-06-01:10:36,0,0,0
2022-09-12-00:04:39,9988,1294,125
