date,prix100,prix10,prix1
2022-02-02-20:19:23,18991,1792,116
2022-02-06-14:55:33,17292,1699,169
2022-02-06-22:33:44,16994,1677,168
2022-02-07-20:15:16,10000,1660,160
2022-02-07-20:27:34,10000,1660,160
2022-02-07-20:39:52,10000,1660,160
2022-02-07-20:52:11,10000,1660,160
2022-02-07-21:04:29,9999,1660,160
2022-02-07-21:16:51,0,0,0
2022-02-10-08:49:41,14876,1469,156
2022-02-10-20:17:07,14900,1395,155
2022-02-10-20:30:36,15799,1395,155
2022-02-10-20:44:06,15799,1395,155
2022-02-11-20:35:07,15500,1396,139
2022-02-12-12:36:04,14495,1396,139
2022-09-11-22:50:28,78000,8900,899
2022-09-12-08:51:10,23000,2296,250
2022-09-12-20:52:39,22000,2295,242
