date,prix100,prix10,prix1
2022-02-02-20:19:33,9866,949,109
2022-02-06-14:55:43,9993,1090,109
2022-02-06-22:33:55,15000,1376,119
2022-02-07-20:15:27,8963,1092,109
2022-02-07-20:27:45,8964,1090,110
2022-02-07-20:40:02,8961,1099,120
2022-02-07-20:52:21,8897,1099,119
2022-02-07-21:04:39,8895,1096,120
2022-02-07-21:17:00,8895,1093,117
2022-02-10-08:49:52,7475,769,120
2022-02-10-20:17:19,4999,900,100
2022-02-10-20:30:48,4999,900,202
2022-02-10-20:44:18,4999,649,202
2022-02-11-20:35:18,7500,1097,100
2022-02-12-12:36:14,8990,994,104
2022-09-11-23:28:13,9899,1365,148
