date,prix100,prix10,prix1
2022-01-22-23:53:27,306999,27997,2590
2022-01-23-22:56:44,308995,29997,2799
2022-01-24-09:10:42,308995,29993,2940
2022-01-24-09:11:44,308995,29993,2940
2022-01-24-09:12:44,308995,29993,2940
2022-01-24-09:13:31,308995,29993,2940
2022-01-24-09:14:59,308995,29993,2940
2022-01-24-19:37:44,308900,29999,2698
2022-01-24-21:39:36,308900,29999,2694
2022-01-25-18:26:20,308900,29992,2894
2022-01-26-15:23:41,308799,29979,2893
2022-01-26-15:42:51,308799,29979,2893
2022-01-28-09:06:05,299999,19999,2700
2022-01-28-10:05:30,299999,20000,2650
2022-01-28-11:04:48,299999,20000,2649
2022-01-28-12:03:50,299999,24997,2644
2022-01-28-13:02:56,299999,24999,2642
2022-01-28-14:02:05,299999,26996,2640
2022-01-28-15:01:14,299999,26990,2867
2022-01-28-16:00:26,299998,26990,2865
2022-01-28-16:59:59,299998,26999,2099
2022-01-28-17:59:30,299998,26999,2798
2022-01-29-10:42:36,299998,26992,2844
2022-01-29-11:41:24,299998,26992,2844
2022-01-29-12:40:18,299998,26993,2845
2022-01-29-13:39:10,299990,26990,2844
2022-01-29-21:53:11,299990,26970,2799
2022-01-29-22:52:15,299990,26967,2793
2022-02-02-20:22:59,259945,20000,2597
2022-02-06-14:59:09,299998,25099,2510
2022-02-06-22:37:44,250960,25093,2495
2022-02-07-20:18:50,250898,25099,2498
2022-02-07-20:31:09,250898,25091,2498
2022-02-07-20:43:26,250898,25092,2497
2022-02-07-20:55:47,250890,25090,2497
2022-02-07-21:08:03,250890,25090,2497
2022-02-10-08:53:26,307798,30760,8096
2022-02-10-20:21:06,297998,29979,8082
2022-02-10-20:34:33,297999,29979,8082
2022-02-11-20:38:48,307655,30793,2996
2022-02-12-12:39:44,307656,30777,2989
2022-09-11-23:37:51,297875,29999,2718
