date,prix100,prix10,prix1
2022-01-22-23:54:00,60000,6000,500
2022-01-24-09:15:30,20000,2992,495
2022-01-24-19:38:15,9999,2947,500
2022-01-24-21:40:07,22988,2947,500
2022-01-25-18:26:50,35990,3647,199
2022-01-26-15:24:17,60000,6000,500
2022-01-26-15:43:27,60000,6000,500
2022-01-28-09:06:44,39000,4313,735
2022-01-28-10:06:12,38999,4311,735
2022-01-28-11:05:27,38999,4310,735
2022-01-28-12:04:30,38999,4310,735
2022-01-28-13:03:35,38999,4306,734
2022-01-28-14:02:42,38998,4300,732
2022-01-28-15:01:53,38998,4297,730
2022-01-28-16:01:07,38995,4295,732
2022-01-28-17:00:39,34999,4294,734
2022-01-28-18:00:10,34998,4290,500
2022-01-29-10:43:13,53992,4996,649
2022-01-29-11:42:01,53991,4996,648
2022-01-29-12:40:56,53991,4997,647
2022-01-29-13:39:46,53990,4796,647
2022-01-29-21:53:51,53769,4900,689
2022-01-29-22:52:52,48999,4900,700
2022-02-01-20:06:58,40687,4996,740
2022-02-01-20:37:39,40687,4996,740
2022-02-02-20:14:00,29999,4990,736
2022-02-06-14:52:44,41972,4799,795
2022-02-06-15:24:43,41969,4799,795
2022-02-06-22:30:52,41960,3996,695
2022-02-07-20:12:30,41829,4476,688
2022-02-07-20:24:47,41829,4476,688
2022-02-07-20:37:04,41829,4476,689
2022-02-07-20:49:23,41829,4476,689
2022-02-07-21:01:42,41828,4476,689
2022-02-07-21:14:04,41827,4476,689
2022-02-10-08:46:45,34545,3776,625
2022-02-10-20:14:02,33988,3773,470
2022-02-10-20:27:31,33988,3773,470
2022-02-10-20:41:01,33986,3774,470
2022-02-11-20:32:14,23996,3716,400
2022-02-12-12:33:13,22108,3696,470
2022-09-11-23:38:23,23198,2973,489
