date,prix100,prix10,prix1
2022-01-22-23:53:43,1740000,150000,15993
2022-01-24-09:15:13,1740000,159995,15976
2022-01-24-19:37:58,1740000,159993,15981
2022-01-24-21:39:50,1740000,159993,15984
2022-01-25-18:26:35,1750000,166990,15700
2022-01-26-15:23:59,1750000,166996,15999
2022-01-26-15:43:09,1750000,166995,15999
2022-01-28-09:06:25,1750000,159991,16500
2022-01-28-10:05:50,1750000,159991,16449
2022-01-28-11:05:07,1750000,159991,16400
2022-01-28-12:04:10,1750000,159991,16199
2022-01-28-13:03:16,1750000,159991,16198
2022-01-28-14:02:24,1750000,159991,16120
2022-01-28-15:01:33,1750000,159991,16195
2022-01-28-16:00:47,1750000,159991,16194
2022-01-28-17:00:19,1750000,159999,16189
2022-01-28-17:59:50,1750000,159999,16188
2022-01-29-10:42:55,1750000,154999,16147
2022-01-29-11:41:43,1750000,154999,16147
2022-01-29-12:40:38,1750000,154999,16147
2022-01-29-13:39:28,1750000,154999,16147
2022-01-29-21:53:30,0,166999,16146
2022-01-29-22:52:33,0,166999,16146
2022-02-02-20:24:45,0,179990,18192
2022-02-06-15:00:56,0,174996,18886
2022-02-06-22:39:32,0,174996,18890
2022-02-07-20:20:36,0,174000,18895
2022-02-07-20:32:55,0,174000,18895
2022-02-07-20:45:12,0,174000,18895
2022-02-07-20:57:33,0,174000,18895
2022-02-07-21:09:50,0,174000,18895
2022-02-10-08:55:17,0,174993,18881
2022-02-10-20:23:04,0,174993,18884
2022-02-10-20:36:28,0,3560000,344998
2022-02-11-20:40:38,0,174990,18883
2022-02-12-12:41:32,0,169995,16998
2022-09-11-23:36:46,0,169937,20999
2022-09-12-08:50:55,0,169936,20997
