date,prix100,prix10,prix1
2022-02-01-19:38:08,1597,600,125
2022-02-01-20:06:10,1611,994,124
2022-02-01-20:36:51,1610,994,124
2022-02-02-20:13:14,1547,623,65
2022-02-02-20:28:12,1547,620,66
2022-02-06-14:51:57,1583,260,24
2022-02-06-15:23:56,1969,259,100
2022-02-06-22:30:05,2199,269,90
2022-02-07-20:11:43,2554,299,32
2022-02-07-20:24:02,2553,299,32
2022-02-07-20:36:18,2551,299,79
2022-02-07-20:48:37,2553,296,79
2022-02-07-21:00:57,2544,294,70
2022-02-07-21:13:17,2500,292,69
2022-02-10-08:45:57,1294,250,100
2022-02-10-20:13:08,1797,275,99
2022-02-10-20:26:39,1520,275,99
2022-02-10-20:40:10,1497,275,99
2022-02-11-20:31:27,8996,296,21
2022-02-12-12:32:26,2266,267,111
2022-09-11-23:35:37,767616,1973,193
2022-09-12-08:51:48,767616,1949,184
