date,prix100,prix10,prix1
2022-02-01-20:06:35,13989,1420,198
2022-02-01-20:37:16,13989,1420,198
2022-02-02-20:13:38,10871,1399,197
2022-02-06-14:52:22,16000,1696,242
2022-02-06-15:24:20,15999,1696,242
2022-02-06-22:30:30,15694,1590,160
2022-02-07-20:12:07,13477,1699,490
2022-02-07-20:24:25,13475,1600,490
2022-02-07-20:36:42,13473,1596,489
2022-02-07-20:49:00,13469,1596,489
2022-02-07-21:01:20,4078,1596,489
2022-02-07-21:13:42,13467,1596,489
2022-02-10-08:46:21,10193,1392,149
2022-02-10-20:13:35,10096,999,430
2022-02-10-20:27:05,9999,1000,430
2022-02-10-20:40:36,9999,1000,430
2022-02-11-20:31:51,9794,1200,299
2022-02-12-12:32:50,9580,995,149
2022-09-11-22:48:22,17898,1995,197
2022-09-12-08:49:09,16875,1993,190
2022-09-12-20:45:03,16898,1910,197
