date,prix100,prix10,prix1
2022-02-02-20:19:53,8845,467,49
2022-02-06-14:56:03,8499,465,40
2022-02-06-22:34:14,8789,664,55
2022-02-07-20:15:46,8594,664,70
2022-02-07-20:28:05,8594,664,70
2022-02-07-20:40:22,8592,664,70
2022-02-07-20:52:41,8597,664,70
2022-02-07-21:04:59,8597,664,70
2022-02-10-08:50:14,1995,200,55
2022-02-10-20:17:40,8696,540,53
2022-02-10-20:31:09,8695,540,53
2022-02-10-20:44:39,8693,542,53
2022-02-11-20:35:38,2999,669,53
2022-02-12-12:36:34,2791,664,65
2022-09-11-23:29:02,7448,967,295
2022-09-12-08:47:12,6966,960,292
2022-09-12-20:47:20,6990,1694,100
