date,prix100,prix10,prix1
2022-01-22-23:53:01,0,4999299,497500
2022-01-23-22:50:03,0,4966995,496481
2022-01-24-19:37:25,0,4957996,495440
2022-01-24-21:39:16,0,4499999,495413
2022-01-25-18:26:02,0,4499196,474994
2022-01-26-15:23:18,0,4499195,472894
2022-01-26-15:42:29,0,4499195,472894
2022-01-28-09:05:41,0,4496995,472899
2022-01-28-10:05:05,0,4496995,472899
2022-01-28-11:04:26,0,4496994,472899
2022-01-28-12:03:28,0,4496993,472899
2022-01-28-13:02:34,0,4496995,472899
2022-01-28-14:01:42,0,4496995,472899
2022-01-28-15:00:51,0,4496997,472899
2022-01-28-16:00:04,0,4496000,472899
2022-01-28-16:59:36,0,4497999,472899
2022-01-28-17:59:05,0,4496999,472898
2022-01-29-10:42:15,0,4956996,495428
2022-01-29-11:41:01,0,4956996,495428
2022-01-29-12:39:55,0,4956996,495428
2022-01-29-13:38:47,0,4956997,495428
2022-01-29-21:52:49,0,4967420,495427
2022-01-29-22:51:54,0,4967420,495427
2022-02-02-20:22:40,0,4566790,457000
2022-02-06-14:58:51,0,5600000,496443
2022-02-07-20:18:31,0,9799992,983017
2022-02-07-20:30:51,0,9799992,983017
2022-02-07-20:43:08,0,9799992,983017
2022-02-07-20:55:29,0,9799992,983017
2022-02-07-21:07:45,0,9799992,982289
2022-02-10-08:53:07,0,5996964,599998
2022-02-10-20:20:46,0,5996956,599959
2022-02-10-20:34:12,0,5996956,599959
2022-02-11-20:38:29,0,5996936,599955
2022-02-12-12:39:25,0,5996937,599853
2022-09-11-23:34:09,0,4424996,443996
2022-09-12-20:51:06,0,4424991,443995
