date,prix100,prix10,prix1
2022-02-01-20:06:52,49581,6900,1099
2022-02-01-20:37:34,25000,6900,1100
2022-02-02-20:13:55,53899,6797,1095
2022-02-06-14:52:39,56893,6450,1080
2022-02-06-15:24:37,56892,6449,1079
2022-02-06-22:30:47,60790,5996,1049
2022-02-07-20:12:25,68452,6570,1047
2022-02-07-20:24:42,68447,6570,1047
2022-02-07-20:36:59,68446,6570,1047
2022-02-07-20:49:18,68445,6599,1047
2022-02-07-21:01:37,68443,6599,1048
2022-02-07-21:13:59,68443,6599,1048
2022-02-10-08:46:39,52893,6400,1049
2022-02-10-20:13:56,49884,6476,900
2022-02-10-20:27:25,49884,6476,900
2022-02-10-20:40:55,49885,6477,898
2022-02-11-20:32:09,54580,6600,1042
2022-02-12-12:33:08,54097,6699,800
2022-09-11-23:27:03,58989,8974,1198
2022-09-12-08:43:07,60865,7997,199
2022-09-12-20:48:36,58886,7790,1147
