date,prix100,prix10,prix1
2022-01-22-23:54:27,7296,8599,242
2022-01-24-09:15:52,44298,3900,150
2022-01-24-19:38:38,44298,3996,138
2022-01-24-21:40:30,44298,3996,136
2022-01-25-18:27:13,39999,3992,291
2022-01-26-15:24:45,44000,3996,188
2022-01-26-15:43:55,44000,3997,187
2022-01-28-09:07:12,43998,4992,194
2022-01-28-10:06:42,43998,4991,194
2022-01-28-11:05:55,43998,4991,195
2022-01-28-12:04:57,43998,4992,195
2022-01-28-13:04:03,43998,4991,196
2022-01-28-14:03:09,43998,4990,190
2022-01-28-15:02:22,43998,4992,400
2022-01-28-16:01:36,43998,4992,405
2022-01-28-17:01:09,43998,4992,405
2022-01-28-18:00:41,43999,4992,400
2022-01-29-10:43:40,43888,4999,194
2022-01-29-11:42:28,43888,4997,192
2022-01-29-12:41:23,43888,4997,191
2022-01-29-13:40:13,43888,4997,191
2022-01-29-21:54:23,43888,4993,283
2022-01-29-22:53:19,43888,4992,284
2022-02-02-20:23:31,43800,4799,183
2022-02-06-14:59:42,39999,3993,275
2022-02-06-22:38:17,39998,3965,116
2022-02-07-20:19:23,38000,3950,180
2022-02-07-20:31:41,38000,3950,178
2022-02-07-20:43:59,38000,3949,148
2022-02-07-20:56:19,38000,3999,400
2022-02-07-21:08:35,38000,3999,199
2022-02-10-08:54:00,37997,3793,246
2022-02-10-20:21:41,37997,3793,197
2022-02-10-20:35:07,37997,3793,197
2022-02-11-20:39:22,37996,3790,111
2022-02-12-12:40:17,37997,3791,296
2022-09-11-22:45:09,18995,1946,139
2022-09-11-23:12:04,18995,1946,139
2022-09-11-23:29:29,18995,1946,138
2022-09-12-08:50:02,18996,1960,128
2022-09-12-20:53:27,18992,1966,126
