date,prix100,prix10,prix1
2022-01-22-23:53:37,106996,12196,1560
2022-01-24-09:15:09,99977,11990,1789
2022-01-24-19:37:54,99987,9999,1689
2022-01-24-21:39:45,99985,10999,1686
2022-01-25-18:26:30,99900,11950,1668
2022-01-26-15:23:53,106992,11991,1640
2022-01-26-15:43:03,100000,11991,1619
2022-01-28-09:06:19,107016,11700,1469
2022-01-28-10:05:44,107000,11900,1469
2022-01-28-11:05:02,106997,11799,1468
2022-01-28-12:04:04,106997,11900,1459
2022-01-28-13:03:11,106900,11900,1450
2022-01-28-14:02:18,106900,11799,1440
2022-01-28-15:01:28,106997,11799,1450
2022-01-28-16:00:41,106997,11799,1440
2022-01-28-17:00:13,106997,11900,1410
2022-01-28-17:59:44,106995,11990,1410
2022-01-29-10:42:50,104999,11996,1482
2022-01-29-11:41:37,104998,11995,1480
2022-01-29-12:40:32,104997,11995,1480
2022-01-29-13:39:23,104997,11995,1480
2022-01-29-21:53:24,104989,11994,1470
2022-01-29-22:52:28,104990,11995,1470
2022-02-02-20:20:28,127984,12339,1589
2022-02-02-20:23:08,127984,12339,1589
2022-02-06-14:56:38,127890,13915,1658
2022-02-06-14:59:20,127890,13915,1658
2022-02-06-22:34:50,127891,12499,1600
2022-02-06-22:37:54,127892,12499,1600
2022-02-07-20:16:21,127695,13799,1580
2022-02-07-20:19:00,127694,13799,1580
2022-02-07-20:28:40,127893,13900,1580
2022-02-07-20:31:18,127898,13900,1580
2022-02-07-20:40:56,127898,13900,1580
2022-02-07-20:43:36,127898,13900,1580
2022-02-07-20:53:16,127898,13900,1580
2022-02-07-20:55:56,127898,13900,1580
2022-02-07-21:05:33,127976,13900,1580
2022-02-07-21:08:13,127976,13900,1580
2022-02-10-08:50:50,175800,17600,1785
2022-02-10-08:53:36,175800,17600,1785
2022-02-10-20:18:19,168698,16900,2700
2022-02-10-20:21:17,168698,16999,2700
2022-02-10-20:31:46,168698,16996,2700
2022-02-10-20:34:43,168698,16996,2700
2022-02-10-20:45:16,168698,16997,2699
2022-02-11-20:36:14,167999,17677,2464
2022-02-11-20:38:58,167999,17677,2464
2022-02-12-12:37:10,160490,17674,2419
2022-02-12-12:39:54,160489,17674,2419
2022-09-11-23:33:26,291800,29900,8277
2022-09-11-23:38:30,291799,29900,8277
2022-09-12-20:47:40,286494,26696,8280
2022-09-12-20:52:46,286493,26697,8284
