date,prix100,prix10,prix1
2022-01-24-19:39:57,969994,63000,8176
2022-01-24-21:41:51,969990,64976,8199
2022-01-25-18:28:30,809998,77934,7400
2022-01-26-15:26:20,757988,72967,7069
2022-01-26-15:45:28,757987,72967,7000
2022-01-28-09:08:46,759988,72997,7295
2022-01-28-10:08:21,759988,72994,7294
2022-01-28-11:07:30,759000,72992,7200
2022-01-28-12:06:33,759000,72990,7199
2022-01-28-13:05:39,759988,72992,7182
2022-01-28-14:04:48,930000,75960,7279
2022-01-28-15:03:58,930000,77779,7188
2022-01-28-16:03:23,930000,79996,7174
2022-01-28-17:02:51,930000,64969,6999
2022-01-28-18:02:23,930000,64966,7193
2022-01-29-10:45:12,849999,69900,8450
2022-01-29-11:44:02,849999,69799,8551
2022-01-29-12:42:59,849999,69797,8544
2022-01-29-13:41:45,849998,69793,8518
2022-01-29-21:56:01,884279,66337,8697
2022-01-29-22:54:50,883997,62200,8600
2022-09-12-00:04:17,179988,16979,1746
2022-09-12-08:50:22,179986,16496,1695
