date,prix100,prix10,prix1
2022-01-22-23:53:48,0,70233027,639972
2022-01-24-09:15:19,34990,4855,792
2022-01-24-19:38:04,53997,4498,791
2022-01-24-21:39:56,49000,4498,790
2022-01-25-18:26:40,35998,4499,697
2022-01-26-15:24:05,31996,3996,791
2022-01-26-15:43:15,31996,3996,791
2022-01-28-09:06:31,39998,3797,786
2022-01-28-10:05:57,39997,3797,788
2022-01-28-11:05:13,39996,3777,788
2022-01-28-12:04:16,39996,3777,790
2022-01-28-13:03:22,39994,3776,789
2022-01-28-14:02:30,39000,3770,750
2022-01-28-15:01:40,38999,3769,750
2022-01-28-16:00:53,38950,3770,789
2022-01-28-17:00:25,38950,3770,788
2022-01-28-17:59:57,38950,3769,788
2022-01-29-10:43:01,38944,3760,784
2022-01-29-11:41:49,38799,3757,784
2022-01-29-12:40:44,38799,3749,700
2022-01-29-13:39:34,38799,1746,700
2022-01-29-21:53:37,38796,3747,696
2022-01-29-22:52:40,38794,3746,696
2022-02-02-20:19:28,24994,2992,295
2022-02-06-14:55:38,23990,2995,290
2022-02-06-22:33:49,25999,2995,290
2022-02-07-20:15:21,27000,2975,286
2022-02-07-20:27:40,27000,2975,286
2022-02-07-20:39:57,27000,2975,286
2022-02-07-20:52:16,27000,2975,286
2022-02-07-21:04:34,27000,2975,286
2022-02-10-08:49:46,23110,2956,565
2022-02-10-20:17:13,21999,2954,499
2022-02-10-20:30:41,21999,2954,499
2022-02-10-20:44:12,21000,2954,499
2022-02-11-20:35:12,22097,2197,440
2022-02-12-12:36:09,22097,1995,197
2022-09-12-00:03:29,18200,1991,172
2022-09-12-20:52:09,18099,1110,169
