date,prix100,prix10,prix1
2022-01-24-09:21:53,166982,19333,4478
2022-01-24-19:44:02,166877,19330,4483
2022-01-24-21:43:05,166877,19326,4481
2022-01-25-18:31:37,166876,19325,4480
2022-01-26-15:27:25,166865,19330,4478
2022-01-26-15:46:34,166865,19332,4478
2022-01-28-09:09:53,138762,16995,4475
2022-01-28-10:09:27,138761,16994,4474
2022-01-28-11:08:34,138761,16994,4474
2022-01-28-12:07:39,138761,16994,4474
2022-01-28-13:06:45,138761,16994,4474
2022-01-28-14:05:55,138761,16994,4474
2022-01-28-15:05:06,138760,16993,4474
2022-01-28-16:04:29,138750,16992,4473
2022-01-28-17:03:57,138750,16992,4472
2022-01-28-18:03:30,138750,16991,4472
2022-01-29-10:46:14,138749,16996,4469
2022-01-29-11:45:06,138749,16996,4469
2022-01-29-12:44:02,138749,16997,4465
2022-01-29-13:42:49,138749,16997,4465
2022-01-29-21:57:07,138749,16995,4463
2022-01-29-22:55:52,138749,16995,4463
2022-02-02-20:26:21,138695,16970,2999
2022-02-06-15:02:29,138742,16955,4450
2022-02-06-22:41:13,138743,16952,4450
2022-02-07-20:22:11,138745,16952,4448
2022-02-07-20:34:27,138745,16952,4448
2022-02-07-20:46:46,138745,16952,4448
2022-02-07-20:59:05,138745,16952,4448
2022-02-07-21:11:26,138745,16952,4448
2022-02-10-20:24:43,138760,16929,4443
2022-02-10-20:38:08,138760,16929,4443
2022-02-11-20:42:13,129998,16923,4443
2022-02-12-12:43:07,129995,16920,4419
