date,prix100,prix10,prix1
2022-01-22-23:55:17,1099094,99092,10770
2022-01-24-09:16:33,1099093,99097,10766
2022-01-24-19:39:20,1099092,106612,10766
2022-01-24-21:41:13,1099092,106612,10766
2022-01-25-18:27:54,1099092,106606,10769
2022-01-26-15:25:35,1099095,106614,10798
2022-01-26-15:44:45,1099095,106614,10798
2022-01-28-09:08:01,0,106600,11555
2022-01-28-10:07:34,0,106601,11555
2022-01-28-11:06:45,0,106599,11555
2022-01-28-12:05:48,0,106600,11555
2022-01-28-13:04:53,0,106599,11554
2022-01-28-14:04:01,0,106599,11554
2022-01-28-15:03:13,0,106599,11555
2022-01-28-16:02:36,0,106599,11554
2022-01-28-17:02:03,0,106599,11554
2022-01-28-18:01:36,0,106596,11554
2022-01-29-10:44:29,0,106596,11853
2022-01-29-11:43:18,0,106596,11853
2022-01-29-12:42:14,0,106596,11853
2022-01-29-13:41:02,0,106596,11853
2022-01-29-21:55:18,1149999,106596,11777
2022-01-29-22:54:07,1149998,106597,11863
2022-02-02-20:24:04,1149994,106195,11989
2022-02-06-15:00:15,1114991,106074,10982
2022-02-06-22:38:51,1114990,106066,10982
2022-02-07-20:19:54,1114989,106065,10987
2022-02-07-20:32:14,1114989,106065,10987
2022-02-07-20:44:31,1114989,106065,10987
2022-02-07-20:56:51,1114989,106065,10987
2022-02-07-21:09:08,1114989,106065,10987
2022-02-10-08:54:34,1114989,106054,10982
2022-02-10-20:22:16,1114989,106040,10980
2022-02-10-20:35:44,1114989,106040,10980
2022-02-11-20:39:55,1114989,107050,10000
2022-02-12-12:40:50,1114989,107045,10970
2022-09-11-23:35:29,0,117996,15000
2022-09-12-08:49:48,0,117996,17998
