date,prix100,prix10,prix1
2022-01-22-23:52:23,1299996,114997,8996
2022-01-23-22:49:36,1299998,114996,13159
2022-01-24-19:36:57,1299998,114995,12570
2022-01-24-21:38:48,1299998,114995,12569
2022-01-25-18:25:34,1299998,114994,12564
2022-01-26-15:22:44,1299998,114996,12555
2022-01-26-15:41:56,1299998,114996,12555
2022-01-28-09:05:06,1299998,114994,12485
2022-01-28-10:04:28,1299998,114995,12484
2022-01-28-11:03:52,1299998,114996,12483
2022-01-28-12:02:54,1299998,114995,12483
2022-01-28-13:01:59,1299998,114995,12483
2022-01-28-14:01:07,1299998,114995,12481
2022-01-28-15:00:15,1299998,114995,12481
2022-01-28-15:59:28,1299998,114994,12481
2022-01-28-16:59:01,1299998,114992,12480
2022-01-28-17:58:30,1299998,114993,12480
2022-01-29-10:41:43,1299998,114994,12480
2022-01-29-11:40:28,1299998,114994,12480
2022-01-29-12:39:22,1299998,114994,12480
2022-01-29-13:38:14,1299998,114994,12479
2022-01-29-21:52:16,0,159994,12476
2022-01-29-22:51:20,0,159993,12475
2022-02-02-20:25:13,0,199999,12484
2022-02-06-15:01:24,0,144996,13176
2022-02-06-22:40:01,0,144997,14499
2022-02-07-20:21:03,0,144991,14997
2022-02-07-20:33:22,0,144991,14997
2022-02-07-20:45:40,0,144991,14997
2022-02-07-20:58:00,0,144991,14997
2022-02-07-21:10:21,0,144991,14997
2022-02-10-08:55:47,149999,144996,14985
2022-02-10-20:23:34,149913,144994,14980
2022-02-10-20:37:00,149913,144994,14980
2022-02-11-20:41:06,149912,144992,14900
2022-02-12-12:42:00,149912,144992,14899
2022-09-11-23:28:04,1689880,139996,14418
