date,prix100,prix10,prix1
2022-01-24-09:20:51,495000,39991,4297
2022-01-24-19:40:25,435000,39999,4296
2022-01-24-21:42:21,430000,39999,4290
2022-01-25-18:29:00,497999,49696,4900
2022-01-26-15:26:50,589998,69996,6898
2022-01-26-15:46:00,589998,69996,6898
2022-01-28-09:09:17,588883,66799,6884
2022-01-28-10:08:51,588883,66799,6884
2022-01-28-11:08:00,588882,66799,6885
2022-01-28-12:07:04,588882,66799,6889
2022-01-28-13:06:09,588882,66796,6889
2022-01-28-14:05:20,588882,66796,6889
2022-01-28-15:04:29,588882,66796,6890
2022-01-28-16:03:54,588883,66700,6892
2022-01-28-17:03:22,588883,66700,6892
2022-01-28-18:02:54,588883,66796,6892
2022-01-29-10:45:41,588883,67994,6893
2022-01-29-11:44:32,588883,67993,6893
2022-01-29-12:43:28,588885,67994,6893
2022-01-29-13:42:15,588885,67993,6893
2022-01-29-21:56:32,588884,67999,6896
2022-01-29-22:55:19,588884,67996,6895
2022-02-02-20:25:52,499999,56700,6199
2022-02-06-15:02:01,499997,56497,6489
2022-02-06-22:40:43,499997,56496,6490
2022-02-07-20:21:43,349999,25554,6298
2022-02-07-20:33:59,349999,25554,6298
2022-02-07-20:46:17,349999,25554,6298
2022-02-07-20:58:37,349999,25554,6298
2022-02-07-21:10:58,349999,25554,6298
2022-02-10-20:24:12,248997,24997,2800
2022-02-10-20:37:37,248997,24997,2800
2022-02-11-20:41:44,239998,25550,6280
2022-02-12-12:42:37,239999,56496,6278
