date,prix100,prix10,prix1
2022-01-24-09:21:48,21596,2154,285
2022-01-24-19:43:57,21198,2195,274
2022-01-24-21:43:00,21190,2199,274
2022-01-25-18:31:32,18949,2199,260
2022-01-26-15:27:19,18913,1500,195
2022-01-26-15:46:29,18914,1950,195
2022-01-28-09:09:47,17940,1792,178
2022-01-28-10:09:22,17917,1599,178
2022-01-28-11:08:29,17915,1790,178
2022-01-28-12:07:34,17915,1792,178
2022-01-28-13:06:39,17927,1792,178
2022-01-28-14:05:50,17923,1770,178
2022-01-28-15:05:00,17920,1600,150
2022-01-28-16:04:24,17921,1795,149
2022-01-28-17:03:51,17920,1796,149
2022-01-28-18:03:24,17921,1699,149
2022-01-29-10:46:09,17899,1977,179
2022-01-29-11:45:00,17910,1977,174
2022-01-29-12:43:57,17907,1966,175
2022-01-29-13:42:44,17905,1964,175
2022-01-29-21:57:02,17659,1795,176
2022-01-29-22:55:47,17660,1955,176
2022-02-02-20:26:16,17689,1906,186
2022-02-06-15:02:25,16487,1699,183
2022-02-06-22:41:08,15993,1595,179
2022-02-07-20:22:07,16186,1936,190
2022-02-07-20:34:23,16000,1900,190
2022-02-07-20:46:41,16187,1900,190
2022-02-07-20:59:01,16186,1900,190
2022-02-07-21:11:21,16185,1900,190
2022-02-10-20:24:38,15950,1595,186
2022-02-10-20:38:04,15956,1595,186
2022-02-11-20:42:09,15952,1537,174
2022-02-12-12:43:02,14999,1550,174
