date,prix100,prix10,prix1
2022-01-24-09:21:05,21890,2300,220
2022-01-24-19:40:39,19998,2295,219
2022-01-24-21:42:35,21987,2295,219
2022-01-25-18:29:14,22989,2290,219
2022-01-25-21:51:00,22985,2299,218
2022-01-25-21:56:20,22985,2299,218
2022-01-25-22:00:26,22985,2299,218
2022-01-25-22:05:18,22985,2299,218
2022-01-25-22:09:06,22985,2299,218
2022-01-26-15:16:13,22694,2296,217
2022-01-26-15:27:06,22694,2296,217
2022-01-26-15:46:16,22694,2295,217
2022-01-28-09:09:34,22482,214,200
2022-01-28-10:09:09,22482,214,199
2022-01-28-11:08:16,22450,214,199
2022-01-28-12:07:21,22449,2143,199
2022-01-28-13:06:27,22445,2141,199
2022-01-28-14:05:37,22445,2141,195
2022-01-28-15:04:47,22442,2141,195
2022-01-28-16:04:11,22419,2141,195
2022-01-28-17:03:39,22417,2141,195
2022-01-28-18:03:11,22415,2141,195
2022-01-29-10:45:57,22406,2140,217
2022-01-29-11:44:48,22199,2140,216
2022-01-29-12:43:45,22198,2140,216
2022-01-29-13:42:32,22197,2140,216
2022-01-29-21:56:50,19993,2140,216
2022-01-29-22:55:35,19990,2141,216
2022-02-02-20:26:06,18810,1700,235
2022-02-06-15:02:14,19898,1959,210
2022-02-06-22:40:57,19885,1957,209
2022-02-07-20:21:57,19892,1996,208
2022-02-07-20:34:13,19891,1999,208
2022-02-07-20:46:31,19891,1999,208
2022-02-07-20:58:51,19891,1999,208
2022-02-07-21:11:11,19891,1999,208
2022-02-10-20:24:27,20994,2090,203
2022-02-10-20:37:53,20994,2090,203
2022-02-11-20:41:58,20766,1999,203
2022-02-12-12:42:52,19998,1995,203
