date,prix100,prix10,prix1
2022-01-22-23:52:12,101993,10525,1091
2022-01-23-22:49:27,90992,9491,976
2022-01-24-19:36:48,90499,9393,991
2022-01-24-21:38:38,91998,9097,993
2022-01-25-18:25:25,91994,9396,984
2022-01-26-15:22:34,99997,9391,915
2022-01-26-15:41:44,99995,9391,915
2022-01-28-09:04:52,91494,8992,900
2022-01-28-10:04:16,91494,8993,899
2022-01-28-11:03:41,91490,8991,898
2022-01-28-12:02:42,91490,8992,898
2022-01-28-13:01:48,91490,8991,895
2022-01-28-14:00:55,91494,8990,895
2022-01-28-15:00:04,91493,8950,894
2022-01-28-15:59:16,91492,8997,893
2022-01-28-16:58:49,91492,8997,869
2022-01-28-17:58:17,91400,8996,868
2022-01-29-10:41:32,91190,9216,912
2022-01-29-11:40:17,91400,9290,912
2022-01-29-12:39:11,91400,9299,915
2022-01-29-13:38:03,91197,9000,915
2022-01-29-21:52:05,91198,9294,916
2022-01-29-22:51:09,91198,9294,916
2022-02-02-20:25:03,85500,8900,884
2022-02-06-15:01:15,90772,9312,939
2022-02-06-22:39:52,101451,8990,887
2022-02-07-20:20:54,92000,9553,997
2022-02-07-20:33:13,91997,9000,998
2022-02-07-20:45:30,91997,9000,998
2022-02-07-20:57:51,91997,9000,998
2022-02-07-21:10:08,91997,8996,997
2022-02-10-08:55:37,81482,8994,878
2022-02-10-20:23:24,81000,8994,877
2022-02-10-20:36:49,80999,8994,877
2022-02-11-20:40:57,80868,8396,869
2022-02-12-12:41:51,80500,8199,859
2022-09-11-23:33:33,64988,6436,678
2022-09-12-08:46:30,64965,6399,611
2022-09-12-20:49:28,64967,6297,648
