date,prix100,prix10,prix1
2022-01-24-09:20:46,0,39777,8708
2022-01-24-19:40:21,0,39777,8708
2022-01-24-21:42:17,0,39777,8708
2022-01-25-18:28:55,400000,39777,8708
2022-01-26-15:26:45,400000,39797,8708
2022-01-26-15:45:54,400000,39797,8708
2022-01-28-09:09:12,400000,39796,8707
2022-01-28-10:08:46,400000,39796,8707
2022-01-28-11:07:54,400000,39796,8707
2022-01-28-12:06:58,400000,39796,8707
2022-01-28-13:06:04,400000,39796,8707
2022-01-28-14:05:15,400000,39796,8707
2022-01-28-15:04:23,400000,39796,8707
2022-01-28-16:03:48,400000,39796,8707
2022-01-28-17:03:16,400000,39796,8707
2022-01-28-18:02:48,400000,39796,8707
2022-01-29-10:45:36,400000,39796,8707
2022-01-29-11:44:26,400000,39796,8707
2022-01-29-12:43:23,400000,39796,8706
2022-01-29-13:42:10,400000,39796,8706
2022-01-29-21:56:26,400000,39796,8706
2022-01-29-22:55:14,400000,39796,8706
2022-02-02-20:25:47,400000,39795,8700
2022-02-06-15:01:56,400000,39794,8500
2022-02-06-22:40:39,400000,39794,8500
2022-02-07-20:21:38,400000,39794,8500
2022-02-07-20:33:54,400000,39794,8500
2022-02-07-20:46:12,400000,39794,8500
2022-02-07-20:58:32,400000,39794,8500
2022-02-07-21:10:53,400000,39794,8500
2022-02-10-20:24:08,400000,39793,8500
2022-02-10-20:37:32,400000,39793,8500
2022-02-11-20:41:39,400000,39793,8000
2022-02-12-12:42:33,399999,39793,8000
