date,prix100,prix10,prix1
2022-01-22-23:54:15,1530612,14591,14099
2022-01-24-09:15:43,1530612,142746,14107
2022-01-24-19:38:29,1530612,157506,14562
2022-01-24-21:40:21,1530611,157505,14195
2022-01-25-18:27:03,1530611,143650,13490
2022-01-26-15:24:34,1530611,141793,13500
2022-01-26-15:43:43,1530611,141797,13997
2022-01-28-09:07:01,1530611,144996,14777
2022-01-28-10:06:30,1530611,144997,14788
2022-01-28-11:05:43,1530611,144997,14796
2022-01-28-12:04:46,1530611,144997,14889
2022-01-28-13:03:52,1530611,144993,14884
2022-01-28-14:02:59,1530611,144993,14879
2022-01-28-15:02:10,1530611,144994,14867
2022-01-28-16:01:25,1530611,144993,14880
2022-01-28-17:00:57,1530611,144993,14799
2022-01-28-18:00:29,1530611,144991,14496
2022-01-29-10:43:29,1530611,140992,13185
2022-01-29-11:42:18,1530611,140999,13185
2022-01-29-12:41:12,1530611,140997,13174
2022-01-29-13:40:02,1530611,140995,13163
2022-01-29-21:54:10,1530611,140970,13168
2022-01-29-22:53:08,1530611,140970,12999
2022-02-02-20:23:22,1400000,134441,13171
2022-02-06-14:59:33,1530612,129929,12268
2022-02-06-22:38:08,1530612,129945,11994
2022-02-07-20:19:13,1530612,126999,11995
2022-02-07-20:31:32,1530612,126999,11999
2022-02-07-20:43:50,1530612,126999,11997
2022-02-07-20:56:10,1530612,126999,11995
2022-02-07-21:08:26,1530612,126999,11996
2022-02-10-08:53:50,1530612,117940,11508
2022-02-10-20:21:31,1530612,126992,12244
2022-02-10-20:34:57,0,126993,12113
2022-02-11-20:39:12,1530612,116999,11000
2022-02-12-12:40:08,1530612,115996,11576
2022-09-11-23:29:22,1400000,123900,12256
2022-09-12-08:48:06,1400000,106046,10776
