date,prix100,prix10,prix1
2022-01-23-22:48:02,0,32776,8195
2022-01-24-19:35:23,0,29979,2100
2022-01-24-21:37:11,0,29976,2288
2022-01-25-18:24:01,0,47399,4094
2022-01-26-15:20:51,899999,90000,7179
2022-01-26-15:39:58,899999,73900,7178
2022-01-28-09:03:02,689000,46797,8443
2022-01-28-10:02:27,689000,46797,8440
2022-01-28-11:01:49,689000,46797,8197
2022-01-28-12:00:55,689000,46797,4195
2022-01-28-13:00:00,689000,46797,4150
2022-01-28-13:59:07,689000,46791,4150
2022-01-28-14:58:17,689000,46791,4147
2022-01-28-15:57:27,689000,46791,4128
2022-01-28-16:56:56,689000,46790,4497
2022-01-28-17:56:25,689000,46790,4483
2022-01-29-10:39:52,688999,39996,8898
2022-01-29-11:38:34,688999,39996,8794
2022-01-29-12:37:25,688999,39996,8792
2022-01-29-13:36:19,688999,39996,8791
2022-01-29-21:50:20,688999,39996,8170
2022-01-29-22:49:26,688999,39996,8100
2022-02-02-20:21:11,688999,63994,1010
2022-02-06-14:57:22,688997,39325,8600
2022-02-06-22:35:34,688996,39325,8625
2022-02-07-20:17:04,688995,36993,8187
2022-02-07-20:29:23,688995,36993,8187
2022-02-07-20:41:39,688995,36993,8187
2022-02-07-20:53:59,688995,36993,8187
2022-02-07-21:06:16,688995,36993,8187
2022-02-10-08:51:35,349999,32994,2084
2022-02-10-20:19:08,349999,32991,2086
2022-02-10-20:32:35,349999,32991,2085
2022-02-10-20:46:05,349999,32991,2084
2022-02-11-20:36:59,349999,32974,2190
2022-02-12-12:37:55,688995,31999,1999
2022-09-11-22:49:50,0,10000,927
2022-09-11-23:35:58,0,10000,926
2022-09-12-08:48:19,0,9999,766
2022-09-12-20:45:44,0,9996,742
