date,prix100,prix10,prix1
2022-02-02-20:19:03,5977,979,100
2022-02-06-14:55:13,8193,937,84
2022-02-06-22:33:23,8182,946,142
2022-02-07-20:14:57,5988,450,50
2022-02-07-20:27:15,5988,450,50
2022-02-07-20:39:32,5988,450,50
2022-02-07-20:51:51,5988,450,50
2022-02-07-21:04:09,5988,450,50
2022-02-07-21:16:32,5987,450,50
2022-02-10-08:49:20,7197,992,149
2022-02-10-20:16:45,7486,966,147
2022-02-10-20:30:15,7480,966,147
2022-02-10-20:43:43,7480,966,147
2022-02-11-20:34:47,6500,696,72
2022-02-12-12:35:43,7485,694,72
2022-09-11-23:35:44,7898,993,224
2022-09-12-08:45:37,7599,220,200
2022-09-12-20:47:06,7298,994,190
