date,prix100,prix10,prix1
2022-02-01-20:06:24,4994,987,124
2022-02-01-20:37:06,4995,987,124
2022-02-02-20:13:28,4998,997,97
2022-02-02-20:28:26,4997,996,96
2022-02-06-14:52:12,8000,979,94
2022-02-06-15:24:10,8000,985,95
2022-02-06-22:30:19,8369,976,96
2022-02-07-20:11:57,8094,973,96
2022-02-07-20:24:15,8093,973,96
2022-02-07-20:36:32,8092,973,96
2022-02-07-20:48:50,8092,973,96
2022-02-07-21:01:10,8094,973,96
2022-02-07-21:13:32,8094,975,96
2022-02-10-08:46:11,4838,972,70
2022-02-10-20:13:23,4863,970,77
2022-02-10-20:26:54,4863,970,77
2022-02-10-20:40:25,4864,971,77
2022-02-11-20:31:41,4755,980,91
2022-02-12-12:32:40,409,996,69
2022-09-11-23:24:49,779,1274,146
2022-09-12-08:49:21,7659,1275,139
2022-09-12-20:46:18,8687,1259,143
