date,prix100,prix10,prix1
2022-02-01-19:29:04,63781,6997,699
2022-02-01-19:30:50,63781,6997,699
2022-02-01-19:37:40,63778,6996,699
2022-02-01-19:44:48,63778,6996,698
2022-02-01-19:47:12,63778,6996,698
2022-02-01-19:52:50,63778,6996,699
2022-02-01-19:59:33,63778,6996,699
2022-02-01-20:03:34,63778,6996,700
2022-02-01-20:05:42,63778,6996,700
2022-02-01-20:36:21,63777,6996,937
2022-02-02-20:08:05,55000,6396,776
2022-02-02-20:12:47,55000,6396,776
2022-02-02-20:27:43,55000,6396,776
2022-02-06-14:51:29,44979,3999,689
2022-02-06-15:23:27,44979,3999,689
2022-02-06-22:29:36,44890,3996,475
2022-02-07-20:11:14,44793,3996,681
2022-02-07-20:23:34,44793,3999,681
2022-02-07-20:35:50,44793,3999,681
2022-02-07-20:48:08,44793,3999,680
2022-02-07-21:00:28,44793,3999,680
2022-02-07-21:12:49,44793,3999,681
2022-02-10-08:42:38,43829,5396,689
2022-02-10-08:45:27,43829,5395,689
2022-02-10-20:12:37,43817,5492,687
2022-02-10-20:26:09,43817,5494,695
2022-02-10-20:39:38,43817,5494,695
2022-02-11-20:30:57,43814,5396,698
2022-02-12-12:31:58,43000,4999,600
2022-09-11-22:50:05,47198,5094,734
2022-09-11-23:33:12,47198,5095,734
2022-09-12-08:50:15,47199,5096,720
2022-09-12-20:50:22,47496,5099,697
