date,prix100,prix10,prix1
2022-02-02-20:18:21,1794,199,18
2022-02-06-14:54:31,1484,166,16
2022-02-06-22:32:41,1445,162,15
2022-02-07-20:14:16,1419,176,15
2022-02-07-20:26:34,1418,176,15
2022-02-07-20:38:51,1418,176,15
2022-02-07-20:51:10,1418,176,15
2022-02-07-21:03:29,1417,176,15
2022-02-07-21:15:51,1416,176,16
2022-02-10-08:48:37,1784,162,17
2022-02-10-20:16:01,1888,177,14
2022-02-10-20:29:29,1880,177,14
2022-02-10-20:42:58,1888,177,14
2022-02-11-20:34:04,1698,117,11
2022-02-12-12:35:02,1192,109,9
2022-09-11-23:33:47,1486,146,13
2022-09-12-08:47:25,1400,143,13
2022-09-12-20:46:53,1447,122,11
