date,prix100,prix10,prix1
2022-02-02-20:20:02,2964,46,82
2022-02-06-14:56:12,2845,335,71
2022-02-06-22:34:24,2896,349,72
2022-02-07-20:15:55,8476,360,73
2022-02-07-20:28:14,8476,396,73
2022-02-07-20:40:31,8475,396,73
2022-02-07-20:52:50,8474,396,73
2022-02-07-21:05:08,8473,396,73
2022-02-10-08:50:23,1980,466,42
2022-02-10-20:17:50,8287,500,42
2022-02-10-20:31:18,8287,500,42
2022-02-10-20:44:50,8281,499,42
2022-02-11-20:35:48,2994,700,60
2022-02-12-12:36:44,2764,660,60
2022-09-11-23:32:45,4287,967,201
2022-09-12-20:44:40,8698,973,210
