date,prix100,prix10,prix1
2022-01-22-23:54:05,0,650000,66999
2022-01-24-09:15:34,0,0,68891
2022-01-24-19:38:20,0,669996,70478
2022-01-24-21:40:12,0,669996,70477
2022-01-25-18:26:54,0,660000,70469
2022-01-26-15:24:23,0,669997,70454
2022-01-26-15:43:32,0,669997,70454
2022-01-28-09:06:50,0,0,70442
2022-01-28-10:06:18,0,0,70442
2022-01-28-11:05:33,0,759999,70442
2022-01-28-12:04:35,0,759999,70441
2022-01-28-13:03:40,0,759996,70446
2022-01-28-14:02:48,0,759996,70447
2022-01-28-15:01:59,0,759996,70447
2022-01-28-16:01:13,0,759996,70481
2022-01-28-17:00:45,0,759996,70400
2022-01-28-18:00:16,0,759997,71995
2022-01-29-10:43:18,0,600000,84284
2022-01-29-11:42:07,0,600000,84280
2022-01-29-12:41:01,0,600000,84278
2022-01-29-13:39:51,0,0,84278
2022-01-29-21:53:58,7199999,600000,84262
2022-01-29-22:52:57,7199999,600000,84261
2022-02-02-20:23:13,0,694999,89899
2022-02-06-14:59:24,0,693596,88771
2022-02-06-22:37:59,0,693593,84987
2022-02-07-20:19:04,7699999,646994,84956
2022-02-07-20:31:23,7699999,646994,84956
2022-02-07-20:43:41,7699999,646994,84956
2022-02-07-20:56:01,7699999,646994,84956
2022-02-07-21:08:17,7699999,646994,84956
2022-02-10-08:53:40,0,636995,83998
2022-02-10-20:21:21,0,636990,82800
2022-02-10-20:34:48,0,636990,82800
2022-02-11-20:39:03,0,627569,82600
2022-02-12-12:39:58,0,627563,82588
2022-09-11-23:25:18,5450000,539993,56995
2022-09-12-08:50:08,5450000,539999,56992
