date,prix100,prix10,prix1
2022-01-22-23:52:44,176993,153192,16375
2022-01-22-23:54:54,176993,153192,16375
2022-01-23-22:49:54,1548990,152991,16080
2022-01-24-09:16:15,1500000,152999,16070
2022-01-24-19:37:15,1548993,152990,16005
2022-01-24-19:39:01,1548993,152990,16005
2022-01-24-21:39:06,1548993,152990,16006
2022-01-24-21:40:54,1548993,152990,16006
2022-01-25-18:25:52,1400000,139999,15950
2022-01-25-18:27:35,1400000,149599,15951
2022-01-26-15:23:07,1547996,149420,15970
2022-01-26-15:25:12,1547996,149420,15970
2022-01-26-15:42:18,1547996,149414,15970
2022-01-26-15:44:23,1547996,149414,15970
2022-01-28-09:05:29,1548996,156766,16262
2022-01-28-09:07:39,1548996,156766,16262
2022-01-28-10:04:52,1548996,156766,16266
2022-01-28-10:07:10,1548996,156766,16266
2022-01-28-11:04:15,1548996,156767,16267
2022-01-28-11:06:22,1548996,156767,16267
2022-01-28-12:03:16,1548996,156767,16290
2022-01-28-12:05:25,1548996,156767,16290
2022-01-28-13:02:22,1548996,156766,16260
2022-01-28-13:04:31,1548996,156766,16260
2022-01-28-14:01:31,1548996,156770,16260
2022-01-28-14:03:38,1548996,156770,16260
2022-01-28-15:00:38,1548996,156770,16210
2022-01-28-15:02:51,1548996,156770,16210
2022-01-28-15:59:52,1548995,156769,16229
2022-01-28-16:02:12,1548995,156769,16220
2022-01-28-16:59:24,1548995,156766,16208
2022-01-28-17:01:39,1548995,156766,16209
2022-01-28-17:58:53,1548995,156770,16218
2022-01-28-18:01:12,1548995,156770,16219
2022-01-29-10:42:04,1548996,159995,17199
2022-01-29-10:44:07,1548996,159995,17198
2022-01-29-11:40:50,1548996,159996,17199
2022-01-29-11:42:56,1548996,159997,17199
2022-01-29-12:39:44,1548996,159996,17199
2022-01-29-12:41:51,1548996,159996,17199
2022-01-29-13:38:36,1548996,160000,17188
2022-01-29-13:40:40,1548996,160000,17188
2022-01-29-21:52:38,1598999,163979,17168
2022-01-29-21:54:55,1598999,163979,17168
2022-01-29-22:51:42,1977999,163990,17288
2022-01-29-22:53:45,1977999,163990,17288
2022-02-02-20:22:31,249999,266396,27197
2022-02-02-20:23:45,249999,266396,27199
2022-02-06-14:58:41,1950000,193496,20412
2022-02-06-14:59:56,1950000,193496,20411
2022-02-06-22:36:55,1935000,169250,20407
2022-02-06-22:38:31,1935000,169250,20407
2022-02-07-20:18:22,1949995,169492,19975
2022-02-07-20:19:36,1949995,169492,19975
2022-02-07-20:30:41,1949995,169492,19975
2022-02-07-20:31:55,1949995,169492,19975
2022-02-07-20:42:59,1949995,169490,19975
2022-02-07-20:44:12,1949995,169490,19975
2022-02-07-20:55:19,1949995,169492,19975
2022-02-07-20:56:33,1949995,169493,19975
2022-02-07-21:07:35,1949995,169493,19954
2022-02-07-21:08:49,1949995,169493,19954
2022-02-10-08:52:57,1750000,171999,19244
2022-02-10-08:54:15,1750000,171999,19244
2022-02-10-20:20:37,1745000,159950,19143
2022-02-10-20:21:57,1745000,159950,19143
2022-02-10-20:34:02,1745000,159950,19143
2022-02-10-20:35:23,1745000,159950,19143
2022-02-11-20:38:20,1679996,166095,17219
2022-02-11-20:39:36,1679996,166094,17218
2022-02-12-12:39:15,1599999,159991,15961
2022-02-12-12:40:31,1599999,159991,15961
2022-09-11-22:47:05,589991,66796,6983
2022-09-11-23:11:50,589991,0,6980
2022-09-11-23:12:10,589991,66777,6980
2022-09-11-23:37:37,589992,66775,6978
2022-09-12-08:47:38,580000,67997,7092
2022-09-12-20:46:46,589995,64200,6654
2022-09-12-20:53:19,589995,64200,6655
