date,prix100,prix10,prix1
2022-02-01-19:28:31,2650,266,1158
2022-02-01-19:30:11,2650,269,59
2022-02-01-19:37:02,2653,266,59
2022-02-01-19:44:09,2652,266,59
2022-02-01-19:46:34,2794,266,59
2022-02-01-19:52:10,2796,269,55
2022-02-01-19:58:55,2651,269,55
2022-02-01-20:02:55,2650,269,55
2022-02-01-20:05:03,2649,270,55
2022-02-01-20:35:43,2497,272,73
2022-02-02-20:07:27,1850,249,60
2022-02-02-20:12:09,1853,249,60
2022-02-02-20:27:05,1850,249,60
2022-02-06-14:50:52,1420,313,99
2022-02-06-15:22:50,1400,311,254
2022-02-06-22:28:57,1159,296,32
2022-02-07-20:10:37,2278,274,44
2022-02-07-20:22:56,2199,274,42
2022-02-07-20:35:12,2198,209,42
2022-02-07-20:47:30,2153,204,41
2022-02-07-20:59:50,2152,195,42
2022-02-07-21:12:11,2147,195,43
2022-02-10-08:41:59,997,120,13
2022-02-10-08:44:49,996,119,13
2022-02-10-20:11:55,1199,144,1099
2022-02-10-20:25:29,1199,144,1099
2022-02-10-20:38:55,1199,144,1099
2022-02-11-20:30:17,1199,192,14
2022-02-12-12:31:19,991,146,64
2022-09-06-01:13:46,847,0,0
2022-09-06-01:36:27,845,200,100
2022-09-11-16:34:30,809,673,20
2022-09-11-17:23:16,8549,674,65
2022-09-11-23:11:57,1792,210,125
2022-09-11-23:32:58,1782,210,125
2022-09-12-20:47:13,1498,366,74
