date,prix100,prix10,prix1
2022-01-22-23:55:33,119173,19999,1447
2022-01-24-09:16:47,119189,12990,1222
2022-01-24-19:39:33,145999,14629,1412
2022-01-24-21:41:26,159900,14599,1418
2022-01-25-18:28:07,149981,14496,1442
2022-01-26-15:25:52,159886,14000,1188
2022-01-26-15:45:01,159887,14000,1299
2022-01-28-09:08:18,98877,9795,837
2022-01-28-10:07:52,98876,9699,828
2022-01-28-11:07:02,98876,9696,829
2022-01-28-12:06:05,98874,8946,880
2022-01-28-13:05:11,98867,9797,868
2022-01-28-14:04:18,98865,9696,879
2022-01-28-15:03:30,98864,9594,897
2022-01-28-16:02:54,98868,9919,970
2022-01-28-17:02:22,98860,9796,929
2022-01-28-18:01:53,89997,8905,900
2022-01-29-10:44:45,79999,7996,813
2022-01-29-11:43:34,79997,8000,804
2022-01-29-12:42:31,79997,7996,797
2022-01-29-13:41:18,79997,7999,785
2022-01-29-21:55:34,69988,5994,588
2022-01-29-22:54:23,69985,5799,592
2022-02-02-20:24:18,38505,3799,178
2022-02-06-15:00:29,44195,4393,448
2022-02-06-22:39:04,44196,5212,415
2022-02-07-20:20:08,44195,4993,511
2022-02-07-20:32:27,44195,4996,510
2022-02-07-20:44:45,44195,4996,507
2022-02-07-20:57:05,44195,4995,504
2022-02-07-21:09:22,44195,4995,499
2022-02-10-08:54:48,41998,4795,400
2022-02-10-20:22:33,41997,4696,428
2022-02-10-20:35:59,41998,4696,428
2022-02-11-20:40:09,39999,4499,429
2022-02-12-12:41:04,44197,4400,445
2022-09-12-00:04:31,63999,6199,479
2022-09-12-08:44:45,67492,6117,497
