date,prix100,prix10,prix1
2022-02-01-20:38:51,21643,2946,552
2022-02-02-20:15:11,22251,2960,125
2022-02-06-14:53:53,38893,4913,559
2022-02-06-22:32:02,38895,4796,558
2022-02-07-20:13:39,38899,4791,498
2022-02-07-20:25:56,38898,4791,498
2022-02-07-20:38:14,38898,4790,498
2022-02-07-20:50:32,38898,4790,498
2022-02-07-21:02:51,38898,4790,497
2022-02-07-21:15:14,38898,4776,496
2022-02-10-08:47:59,22488,4764,590
2022-02-10-20:15:19,20993,4697,599
2022-02-10-20:28:48,20993,4697,599
2022-02-10-20:42:16,20993,4697,648
2022-02-11-20:33:25,20793,1993,440
2022-02-12-12:34:23,20687,3992,444
2022-09-11-22:47:37,14776,1999,592
2022-09-11-23:38:37,14775,1999,591
2022-09-12-20:47:26,14790,1900,487
