date,prix100,prix10,prix1
2022-02-01-20:38:42,124999,13000,1150
2022-02-02-20:15:01,136972,13763,1178
2022-02-06-14:53:44,129599,13076,1213
2022-02-06-15:25:45,129599,13076,1214
2022-02-06-22:31:53,129944,12295,1215
2022-02-07-20:13:29,119899,11999,1199
2022-02-07-20:25:47,119500,11999,1199
2022-02-07-20:38:05,119500,11999,1199
2022-02-07-20:50:23,119500,11999,1199
2022-02-07-21:02:42,119498,11999,1199
2022-02-07-21:15:04,119199,11999,1199
2022-02-10-08:47:49,79997,6996,700
2022-02-10-20:15:08,99895,9995,1191
2022-02-10-20:28:38,99895,11795,1191
2022-02-10-20:42:07,99894,11796,1191
2022-02-11-20:33:16,99993,11000,1096
2022-02-12-12:34:14,99900,10992,951
2022-09-11-22:50:12,48987,4965,538
2022-09-12-08:43:41,39970,3997,298
