date,prix100,prix10,prix1
2022-01-06-10:52:44,629,954,92
2022-01-06-13:31:52,6290,996,94
2022-01-06-14:11:22,6290,996,95
2022-01-06-14:15:27,6290,996,94
2022-01-07-19:52:48,6289,969,8
2022-01-07-20:01:04,6289,969,8
2022-01-07-20:09:16,6289,969,8
2022-01-07-20:17:25,6288,969,0
2022-01-07-20:25:33,628,969,0
2022-01-07-20:33:48,628,969,0
2022-01-12-09:45:25,5996,900,0
2022-01-12-10:11:16,599,996,0
2022-01-12-10:44:32,599,200,0
2022-01-12-11:17:46,599,200,8
2022-01-12-11:51:09,599,940,8
2022-01-21-23:39:45,2995,920,4
2022-01-22-01:02:19,958,99,8
2022-01-22-14:01:21,2997,795,95
2022-01-22-14:14:26,2997,795,95
2022-01-22-14:27:31,2997,795,80
2022-01-22-14:40:36,2000,795,80
2022-01-22-14:53:40,2000,795,80
2022-01-22-15:06:53,1990,796,80
2022-01-22-15:20:01,1989,796,79
2022-01-22-15:33:09,1989,796,80
2022-01-22-15:48:01,1989,796,80
2022-01-22-16:01:06,1989,796,80
2022-01-22-16:14:14,1989,795,80
2022-01-22-16:27:22,1989,795,79
2022-01-22-16:40:31,1989,795,78
2022-01-22-16:53:38,1989,795,77
2022-01-22-17:06:46,1989,796,77
2022-01-22-17:19:53,1989,799,77
2022-01-22-17:32:59,1989,799,76
2022-01-22-17:46:07,1989,799,76
2022-01-22-17:59:17,1989,799,76
2022-01-22-18:12:28,1989,799,76
2022-01-22-18:25:40,1989,799,76
2022-01-22-18:38:53,1989,799,76
2022-01-22-18:51:59,1989,799,76
2022-01-22-19:05:12,1989,799,76
2022-01-22-19:18:25,1989,900,79
2022-01-22-19:32:32,1989,900,79
2022-01-22-19:45:44,1900,900,90
2022-01-22-19:58:54,1900,900,90
2022-01-22-23:51:22,1990,920,67
2022-01-23-22:48:44,2996,906,80
2022-01-24-19:36:06,5900,910,85
2022-01-24-21:37:54,5999,910,89
2022-01-25-18:24:43,5997,910,96
2022-01-26-15:21:43,5995,902,68
2022-01-26-15:40:49,5995,902,67
2022-01-28-09:03:55,5990,798,60
2022-01-28-10:03:22,5990,798,79
2022-01-28-11:02:48,5990,798,79
2022-01-28-12:01:49,5990,798,66
2022-01-28-13:00:55,5999,797,67
2022-01-28-14:00:01,5999,800,67
2022-01-28-14:59:10,5999,799,90
2022-01-28-15:58:21,5999,800,69
2022-01-28-16:57:53,5999,800,69
2022-01-28-17:57:21,5997,750,70
2022-01-29-10:40:42,5999,698,95
2022-01-29-11:39:26,5993,797,90
2022-01-29-12:38:18,5993,796,90
2022-01-29-13:37:12,5994,797,90
2022-01-29-21:51:13,5990,798,65
2022-01-29-22:50:16,5993,797,64
2022-02-02-20:21:53,5798,764,72
2022-02-06-14:58:04,2748,649,82
2022-02-06-22:36:17,5798,674,80
2022-02-07-20:17:45,5982,666,71
2022-02-07-20:30:04,5982,669,71
2022-02-07-20:42:21,5982,669,74
2022-02-07-20:54:41,5982,691,73
2022-02-07-21:06:58,5982,691,73
2022-02-10-08:52:19,5980,769,68
2022-02-10-20:19:56,5978,769,93
2022-02-10-20:33:21,5978,769,93
2022-02-11-20:37:42,5989,790,103
2022-02-12-12:38:37,5989,799,103
2022-09-11-22:48:48,2498,700,84
2022-09-12-08:44:18,2884,490,83
2022-09-12-20:48:18,2883,936,69
