date,prix100,prix10,prix1
2022-01-23-22:48:30,49995,4677,175
2022-01-24-19:35:51,49993,4996,445
2022-01-24-21:37:39,49992,4976,461
2022-01-25-18:24:29,48000,4966,463
2022-01-26-15:21:24,44989,4776,446
2022-01-26-15:40:32,44989,4776,446
2022-01-28-09:03:36,44000,4374,175
2022-01-28-10:03:02,44000,4374,169
2022-01-28-11:02:28,44000,4374,177
2022-01-28-12:01:30,43999,4372,180
2022-01-28-13:00:35,43997,4366,185
2022-01-28-13:59:42,43997,4299,198
2022-01-28-14:58:51,43990,4200,400
2022-01-28-15:58:01,43990,4297,198
2022-01-28-16:57:33,43990,3999,196
2022-01-28-17:57:01,104924,9797,977
2022-01-29-10:40:24,42000,4353,196
2022-01-29-11:39:07,42000,4350,195
2022-01-29-12:37:58,42000,4097,198
2022-01-29-13:36:52,41999,4096,189
2022-01-29-21:50:55,39000,3996,437
2022-01-29-22:49:58,39000,3995,435
2022-02-02-20:21:39,23996,2493,228
2022-02-06-14:57:50,39792,3923,149
2022-02-06-22:36:02,39790,3609,160
2022-02-07-20:17:31,37000,3793,176
2022-02-07-20:29:50,37000,3793,176
2022-02-07-20:42:07,37000,3795,176
2022-02-07-20:54:27,37000,3795,176
2022-02-07-21:06:44,37000,3794,176
2022-02-10-08:52:04,41997,3794,298
2022-02-10-20:19:40,49992,4379,414
2022-02-10-20:33:05,49992,4379,413
2022-02-11-20:37:27,46984,3999,430
2022-02-12-12:38:23,46893,3793,178
2022-09-11-23:32:16,25741,3500,118
2022-09-12-08:47:32,25740,3499,172
2022-09-12-20:52:52,19986,2555,252
