date,prix100,prix10,prix1
2022-01-06-10:51:27,2,3,2
2022-01-06-13:30:31,28,4,0
2022-01-06-14:04:33,28,4,0
2022-01-06-14:09:36,28,4,0
2022-01-06-14:14:28,28,20,2
2022-01-07-19:51:48,94,9,0
2022-01-07-20:00:08,94,9,0
2022-01-07-20:08:23,94,9,0
2022-01-07-20:16:31,94,6,0
2022-01-07-20:24:39,93,0,0
2022-01-07-20:32:50,93,0,0
2022-01-12-09:44:33,98,5,0
2022-01-12-10:10:21,9,5,0
2022-01-12-10:43:36,96,0,0
2022-01-12-11:16:51,94,0,0
2022-01-12-11:50:14,0,5,0
2022-01-21-23:38:45,96,9,0
2022-01-22-01:01:22,96,6,1
2022-01-22-13:34:22,100,13,1
2022-01-22-14:00:28,99,12,1
2022-01-22-14:13:34,99,12,1
2022-01-22-14:26:39,99,11,1
2022-01-22-14:39:44,99,10,1
2022-01-22-14:52:48,99,6,1
2022-01-22-15:05:55,99,6,1
2022-01-22-15:19:09,99,6,1
2022-01-22-15:32:15,99,7,1
2022-01-22-15:47:07,99,5,1
2022-01-22-16:00:13,98,5,1
2022-01-22-16:13:22,98,5,1
2022-01-22-16:26:28,98,5,1
2022-01-22-16:39:37,98,5,1
2022-01-22-16:52:45,97,4,1
2022-01-22-17:05:52,97,4,1
2022-01-22-17:18:59,97,4,1
2022-01-22-17:32:05,97,4,1
2022-01-22-17:45:13,100,6,1
2022-01-22-17:58:23,100,6,1
2022-01-22-18:11:33,100,6,1
2022-01-22-18:24:44,116,6,1
2022-01-22-18:37:57,116,7,1
2022-01-22-18:51:05,115,7,1
2022-01-22-19:04:17,116,6,1
2022-01-22-19:17:31,116,5,1
2022-01-22-19:31:38,117,5,1
2022-01-22-19:44:48,116,6,1
2022-01-22-19:58:00,114,6,1
2022-01-22-23:46:08,0,0,0
2022-01-22-23:50:30,115,4,1
2022-01-23-22:47:57,100,7,1
2022-01-24-19:35:19,99,7,1
2022-01-24-21:37:06,93,5,1
2022-01-25-18:23:56,57,5,1
2022-01-26-15:20:45,197,13,1
2022-01-26-15:39:51,198,12,1
2022-01-28-09:02:56,9,7,1
2022-01-28-10:02:21,9,6,1
2022-01-28-11:01:44,188,6,1
2022-01-28-12:00:50,188,6,1
2022-01-28-12:59:55,185,5,1
2022-01-28-13:59:01,184,5,1
2022-01-28-14:58:11,179,6,1
2022-01-28-15:57:22,177,6,1
2022-01-28-16:56:50,176,7,1
2022-01-28-17:56:19,160,6,1
2022-01-29-10:39:46,264,9,1
2022-01-29-11:38:28,263,17,2
2022-01-29-12:37:20,261,17,1
2022-01-29-13:36:14,261,16,1
2022-01-29-21:50:14,247,9,1
2022-01-29-22:49:20,246,10,1
2022-02-02-20:21:07,79,11,2
2022-02-06-14:57:17,241,39,2
2022-02-06-22:35:29,236,31,2
2022-02-07-20:16:59,193,10,1
2022-02-07-20:29:18,193,17,1
2022-02-07-20:41:35,191,16,1
2022-02-07-20:53:55,193,16,2
2022-02-07-21:06:12,196,17,2
2022-02-10-08:51:30,200,35,6
2022-02-10-20:19:03,497,9,1
2022-02-10-20:32:30,0,10,1
2022-02-10-20:46:00,497,10,1
2022-02-11-20:36:54,295,5,1
2022-02-12-12:37:50,194,13,1
2022-09-11-23:26:23,196,6,4
2022-09-12-08:50:29,197,2,2
