date,prix100,prix10,prix1
2022-01-06-10:49:34,5886,5296,938
2022-01-06-13:28:26,5189,5295,93
2022-01-06-13:36:02,518,5294,93
2022-01-06-13:36:45,518,5294,93
2022-01-06-13:39:24,518,5294,93
2022-01-06-13:40:56,5000,5294,93
2022-01-06-13:42:24,5000,5294,93
2022-01-06-13:43:59,50999,5294,93
2022-01-06-13:44:41,50998,5294,93
2022-01-06-13:59:58,5099,5294,93
2022-01-06-14:02:50,50996,5294,93
2022-01-06-14:05:22,5198,5296,93
2022-01-06-14:12:59,5198,5296,93
2022-01-07-19:50:00,58960,529,932
2022-01-07-19:58:41,58960,529,932
2022-01-07-20:06:58,58960,529,932
2022-01-07-20:15:05,58960,529,932
2022-01-07-20:23:13,58960,529,932
2022-01-07-20:31:22,58960,5299,932
2022-01-12-09:43:04,49663,4996,96
2022-01-12-10:08:48,49665,4996,96
2022-01-12-10:42:06,49660,499,96
2022-01-12-11:15:24,49664,499,96
2022-01-12-11:48:37,49665,4996,94
2022-01-21-23:37:10,4949,595,69
2022-01-22-00:59:56,49149,5195,697
2022-01-22-13:32:50,49129,5099,793
2022-01-22-13:59:04,49126,5096,790
2022-01-22-14:12:10,49124,5097,790
2022-01-22-14:25:14,49148,5099,791
2022-01-22-14:38:20,49146,5099,791
2022-01-22-14:51:24,49146,5099,791
2022-01-22-15:04:27,49146,5099,791
2022-01-22-15:17:44,49146,5099,793
2022-01-22-15:30:50,49146,5099,793
2022-01-22-15:45:43,49144,5099,794
2022-01-22-15:58:48,49144,5099,794
2022-01-22-16:11:56,49143,5099,794
2022-01-22-16:25:04,49141,5099,793
2022-01-22-16:38:11,49118,5099,793
2022-01-22-16:51:20,49116,5099,793
2022-01-22-17:04:26,49116,5099,793
2022-01-22-17:17:35,49115,5099,794
2022-01-22-17:30:41,49114,5099,794
2022-01-22-17:43:47,49113,5099,794
2022-01-22-17:56:56,49116,5099,794
2022-01-22-18:10:06,49115,5100,794
2022-01-22-18:23:18,49114,5194,794
2022-01-22-18:36:31,49110,5193,510
2022-01-22-18:49:42,49146,5194,796
2022-01-22-19:02:49,49146,5193,797
2022-01-22-19:16:03,49147,5193,798
2022-01-22-19:29:16,49140,5196,798
2022-01-22-19:43:22,49144,5295,798
2022-01-22-19:56:33,14144,5295,798
2022-01-22-23:40:41,46995,5197,790
2022-01-22-23:42:01,46995,5197,790
2022-01-22-23:44:53,46995,5197,790
2022-01-22-23:48:57,46995,5197,790
2022-01-23-18:49:19,49112,5196,897
2022-01-23-18:51:05,49112,5196,897
2022-01-23-18:52:38,49111,5196,897
2022-01-23-18:56:56,49129,5179,897
2022-01-23-18:59:09,49128,5179,897
2022-01-23-19:00:34,49127,5179,897
2022-01-23-19:01:49,49127,5179,897
2022-01-23-19:04:52,49126,5179,897
2022-01-23-19:13:20,49124,5179,897
2022-01-23-19:14:18,49124,5179,897
2022-01-23-19:16:02,49124,5179,897
2022-01-23-19:18:45,49122,5179,897
2022-01-23-19:19:52,49121,5179,897
2022-01-23-19:22:03,49120,5179,897
2022-01-23-19:27:22,49119,5191,896
2022-01-23-19:27:58,49119,5191,896
