date,prix100,prix10,prix1
2022-01-06-10:50:44,2640,320,30
2022-01-06-13:29:44,2894,326,30
2022-01-06-14:03:53,8999,350,5
2022-01-06-14:06:18,8999,350,5
2022-01-06-14:13:55,899,350,5
2022-01-07-19:51:09,8656,299,43
2022-01-07-19:59:35,8659,296,43
2022-01-07-20:07:50,8658,296,43
2022-01-07-20:15:59,8664,296,43
2022-01-07-20:24:06,8598,296,43
2022-01-07-20:32:15,8599,296,43
2022-01-12-09:43:59,5789,549,62
2022-01-12-10:09:47,5489,546,62
2022-01-12-10:43:02,548,54,6
2022-01-12-11:16:19,5299,545,6
2022-01-12-11:49:39,5293,499,62
2022-01-21-23:38:08,410,65,49
2022-01-22-01:00:50,4000,300,56
2022-01-22-13:33:47,8176,405,54
2022-01-22-13:59:57,8145,457,54
2022-01-22-14:13:02,8143,461,56
2022-01-22-14:26:07,8143,461,55
2022-01-22-14:39:12,8116,460,55
2022-01-22-14:52:16,8113,460,55
2022-01-22-15:05:22,8125,459,54
2022-01-22-15:18:37,8120,460,54
2022-01-22-15:31:43,8117,459,50
2022-01-22-15:46:36,2995,456,50
2022-01-22-15:59:41,2989,455,49
2022-01-22-16:12:50,2990,454,48
2022-01-22-16:25:56,2989,454,46
2022-01-22-16:39:05,2899,454,46
2022-01-22-16:52:13,2894,454,45
2022-01-22-17:05:19,2892,455,45
2022-01-22-17:18:27,2890,457,44
2022-01-22-17:31:34,2887,457,44
2022-01-22-17:44:42,2881,456,44
2022-01-22-17:57:51,2880,457,47
2022-01-22-18:11:01,2000,457,45
2022-01-22-18:24:11,2988,457,44
2022-01-22-18:37:25,2989,457,43
2022-01-22-18:50:34,2987,456,42
2022-01-22-19:03:43,2981,457,43
2022-01-22-19:16:57,8180,462,48
2022-01-22-19:31:04,2897,399,29
2022-01-22-19:44:16,2892,396,29
2022-01-22-19:57:27,2884,395,29
2022-01-22-23:45:41,72969,7274,676
2022-01-22-23:49:58,2462,396,47
2022-01-23-22:47:25,1698,461,46
2022-01-24-19:34:46,5996,657,50
2022-01-24-21:36:33,5897,662,69
2022-01-25-18:23:27,4172,706,284
2022-01-26-15:20:10,8965,300,65
2022-01-26-15:39:10,8962,622,65
2022-01-28-09:02:20,2891,536,65
2022-01-28-10:01:44,2885,539,64
2022-01-28-11:01:08,8095,536,59
2022-01-28-12:00:14,8097,537,59
2022-01-28-12:59:19,8274,536,63
2022-01-28-13:58:24,8265,530,67
2022-01-28-14:57:35,8194,539,66
2022-01-28-15:56:45,8196,400,69
2022-01-28-16:56:13,8190,540,70
2022-01-28-17:55:40,8900,540,65
2022-01-29-10:39:12,8100,513,59
2022-01-29-11:37:53,8165,511,73
2022-01-29-12:36:44,8097,506,69
2022-01-29-13:35:39,8059,465,70
2022-01-29-21:49:36,2728,294,29
2022-01-29-22:48:46,2710,294,49
2022-02-01-19:28:35,0,297,79
2022-02-01-19:30:16,8597,330,80
2022-02-01-19:37:07,8600,342,50
2022-02-01-19:44:14,8594,342,50
2022-02-01-19:46:38,8594,342,50
2022-02-01-19:52:15,8600,342,49
2022-02-01-19:58:59,8594,343,49
2022-02-01-20:03:00,8593,343,49
2022-02-01-20:05:08,8593,343,48
2022-02-01-20:35:48,8498,342,49
2022-02-02-20:07:31,8585,337,30
2022-02-02-20:12:14,8586,337,30
2022-02-02-20:27:10,8585,342,30
2022-02-06-14:50:56,2095,302,27
2022-02-06-15:22:54,2000,305,27
2022-02-06-22:29:02,8871,364,35
2022-02-07-20:10:41,2710,295,22
2022-02-07-20:23:01,2712,295,22
2022-02-07-20:35:17,2710,295,21
2022-02-07-20:47:35,2710,209,21
2022-02-07-20:59:55,2700,200,21
2022-02-07-21:12:16,1693,200,21
2022-02-10-08:42:04,2167,306,15
2022-02-10-08:44:53,2166,306,15
2022-02-10-20:11:59,2177,296,29
2022-02-10-20:25:34,2198,300,29
2022-02-10-20:39:00,2500,312,30
2022-02-11-20:30:22,4049,415,48
2022-02-12-12:31:24,2989,319,34
2022-09-06-01:10:21,2496,995,70
2022-09-06-01:13:55,2496,995,70
2022-09-11-17:23:32,8112,996,187
2022-09-11-23:11:43,2998,365,50
2022-09-11-23:26:54,2997,365,50
2022-09-12-08:44:25,2650,234,31
2022-09-12-20:50:09,8199,366,63
