date,prix100,prix10,prix1
2022-01-06-10:51:59,8796,969,285
2022-01-06-13:31:04,8795,969,285
2022-01-06-14:10:44,8795,969,284
2022-01-06-14:14:52,8793,969,284
2022-01-07-19:52:13,8400,966,24
2022-01-07-20:00:29,8400,966,24
2022-01-07-20:08:44,8400,966,24
2022-01-07-20:16:52,8199,966,240
2022-01-07-20:25:01,8400,966,240
2022-01-07-20:33:14,8400,966,240
2022-01-12-09:44:54,749,1246,30
2022-01-12-10:10:43,749,1246,29
2022-01-12-10:43:58,749,1246,30
2022-01-12-11:17:13,749,1246,30
2022-01-12-11:50:36,749,1245,30
2022-01-21-23:39:10,9693,1094,22
2022-01-22-01:01:45,9699,1094,221
2022-01-22-13:34:44,9693,900,224
2022-01-22-14:00:49,9693,900,199
2022-01-22-14:13:55,9693,900,199
2022-01-22-14:27:00,9692,999,199
2022-01-22-14:40:05,9692,999,200
2022-01-22-14:53:09,9692,999,200
2022-01-22-15:06:18,9692,999,200
2022-01-22-15:19:30,9692,996,223
2022-01-22-15:32:36,9692,1077,222
2022-01-22-15:47:29,9692,1077,222
2022-01-22-16:00:34,9692,1077,222
2022-01-22-16:13:43,9692,1077,222
2022-01-22-16:26:50,9692,1077,219
2022-01-22-16:39:59,9692,1000,218
2022-01-22-16:53:06,9692,1000,219
2022-01-22-17:06:13,9692,1000,219
2022-01-22-17:19:21,9693,1000,218
2022-01-22-17:32:27,9693,1077,217
2022-01-22-17:45:35,9693,1077,217
2022-01-22-17:58:44,9693,1077,216
2022-01-22-18:11:56,9692,1077,216
2022-01-22-18:25:06,9692,1077,216
2022-01-22-18:38:20,9692,1076,218
2022-01-22-18:51:27,9692,1076,217
2022-01-22-19:04:39,9692,1077,216
2022-01-22-19:17:52,9692,1076,216
2022-01-22-19:32:00,9692,1076,215
2022-01-22-19:45:11,9692,1076,214
2022-01-22-19:58:22,9692,1076,214
2022-01-22-23:50:51,9690,1046,216
2022-01-23-22:48:16,9682,1033,206
2022-01-24-19:35:37,9678,991,191
2022-01-24-21:37:25,9678,992,191
2022-01-25-18:24:15,9672,996,186
2022-01-26-15:21:08,9661,976,177
2022-01-26-15:40:15,9661,976,177
2022-01-28-09:03:19,9499,945,184
2022-01-28-10:02:44,9496,944,182
2022-01-28-11:02:11,9496,900,184
2022-01-28-12:01:13,9449,900,186
2022-01-28-13:00:18,9445,999,185
2022-01-28-13:59:24,9445,999,188
2022-01-28-14:58:34,9428,999,188
2022-01-28-15:57:44,9413,996,188
2022-01-28-16:57:15,9199,900,120
2022-01-28-17:56:44,9181,943,179
2022-01-29-10:40:08,8960,979,129
2022-01-29-11:38:50,8960,977,130
2022-01-29-12:37:42,8499,960,188
2022-01-29-13:36:36,8499,960,188
2022-01-29-21:50:40,8488,967,192
2022-01-29-22:49:42,8487,967,190
2022-02-02-20:21:25,8189,933,167
2022-02-06-14:57:35,8216,950,107
2022-02-06-22:35:48,8208,970,116
2022-02-07-20:17:17,8164,961,150
2022-02-07-20:29:36,8164,962,150
2022-02-07-20:41:53,8164,962,150
2022-02-07-20:54:13,8163,962,150
2022-02-07-21:06:30,8163,962,155
2022-02-10-08:51:49,7962,495,49
2022-02-10-20:19:24,7891,494,71
2022-02-10-20:32:50,7891,494,71
2022-02-10-20:46:21,7891,494,71
2022-02-11-20:37:13,6888,664,160
2022-02-12-12:38:09,6799,666,153
2022-09-11-23:32:23,4756,294,94
2022-09-12-20:50:59,2991,313,99
