date,prix100,prix10,prix1
2022-02-01-19:37:57,1004,222,24
2022-02-01-20:05:59,1016,227,24
2022-02-01-20:36:39,1016,225,23
2022-02-02-20:13:03,1049,170,21
2022-02-02-20:28:00,1050,179,21
2022-02-06-14:51:46,148,146,40
2022-02-06-15:23:44,899,142,39
2022-02-06-22:29:53,840,90,35
2022-02-07-20:11:31,1280,160,40
2022-02-07-20:23:51,988,179,39
2022-02-07-20:36:06,949,179,39
2022-02-07-20:48:25,950,179,39
2022-02-07-21:00:45,946,177,38
2022-02-07-21:13:06,945,177,38
2022-02-10-08:45:45,899,190,27
2022-02-10-20:12:56,896,152,55
2022-02-10-20:26:27,850,152,55
2022-02-10-20:39:56,847,153,55
2022-02-11-20:31:15,1617,131,20
2022-02-12-12:32:15,1500,195,21
2022-09-11-23:37:30,1500,196,95
2022-09-12-20:48:10,994,170,32
