date,prix100,prix10,prix1
2022-01-06-10:50:16,1980,290,39
2022-01-06-10:51:20,1980,293,39
2022-01-06-13:29:15,198,26,40
2022-01-06-13:30:24,1988,266,40
2022-01-06-14:03:32,1899,99,40
2022-01-06-14:04:27,1899,99,40
2022-01-06-14:05:55,1899,99,40
2022-01-06-14:08:55,1899,99,40
2022-01-06-14:13:32,1898,96,42
2022-01-06-14:14:23,189,96,42
2022-01-07-19:50:43,8695,436,55
2022-01-07-19:51:41,869,436,55
2022-01-07-19:59:13,5764,664,198
2022-01-07-20:00:02,8689,43,55
2022-01-07-20:07:30,8689,433,54
2022-01-07-20:08:18,8689,433,54
2022-01-07-20:15:37,8600,299,53
2022-01-07-20:16:25,8600,296,53
2022-01-07-20:23:45,859,29,53
2022-01-07-20:24:33,859,29,53
2022-01-07-20:31:55,8596,433,53
2022-01-07-20:32:45,8596,433,53
2022-01-12-09:43:37,4643,596,38
2022-01-12-09:44:27,4600,596,38
2022-01-12-10:09:24,4593,590,46
2022-01-12-10:10:16,4592,569,46
2022-01-12-10:42:40,4545,36,39
2022-01-12-10:43:30,9999,500,30
2022-01-12-11:15:57,4298,369,40
2022-01-12-11:16:45,4298,369,40
2022-01-12-11:49:13,4259,569,38
2022-01-12-11:50:08,4259,569,38
2022-01-21-23:37:45,490,490,6
2022-01-21-23:38:39,2000,400,6
2022-01-22-01:00:28,8981,42,59
2022-01-22-01:01:17,8981,42,58
2022-01-22-13:33:26,8492,300,35
2022-01-22-13:34:16,8488,296,35
2022-01-22-13:59:36,8487,439,34
2022-01-22-14:00:23,8487,40,34
2022-01-22-14:12:41,8200,409,31
2022-01-22-14:13:28,8200,409,31
2022-01-22-14:25:46,8200,411,30
2022-01-22-14:26:34,8199,410,29
2022-01-22-14:38:51,8193,406,31
2022-01-22-14:39:38,8193,406,31
2022-01-22-14:51:55,8189,406,31
2022-01-22-14:52:43,8188,406,31
2022-01-22-15:05:00,8100,395,31
2022-01-22-15:05:50,8090,392,30
2022-01-22-15:18:16,8099,369,33
2022-01-22-15:19:04,8098,369,33
2022-01-22-15:31:21,8091,365,30
2022-01-22-15:32:10,8091,365,30
